id,sloka,translation,
11,iti sāhasiko yakṣmā rūpairetaiḥ prapadyate|  ekādaśabhirātmajño bhajettasmānna  sāhasam||19||,"Thus, a courageous person seeks protection with these forms. One who knows the self should worship him, not without courage.",
12,hrīmattvādvā ghṛṇitvādvā bhayādvā vegamāgatam|  vātamūtrapurīṣāṇāṃ nigṛhṇāti yadā naraḥ||20||  tadā vegapratīghātāt kaphapitte samīrayan|  ūrdhvaṃ tiryagadhaścaiva vikārān kurute'nilaḥ||21||  pratiśyāyaṃ ca kāsaṃ ca svarabhedamarocakam|  pārśvaśūlaṃ śiraḥśūlaṃ jvaramaṃsāvamardanam||22||  aṅgamardaṃ muhuśchardiṃ varcobhedaṃ trilakṣaṇam|  rūpāṇyekādaśaitāni yakṣmā yairucyate mahān||23||,"When a person, at that moment, restrains the wind force arisen from either shame, compassion, or fear, then due to the obstruction of that wind force, the bodily humors of phlegm and bile are aggravated. This results in various bodily changes such as upward and downward displacement, side-stitch, headache, trembling, fainting, pulsation, and other similar eleven symptoms known as ""maha yakshma."" These are the three characteristics that define it.",
13,īrṣyotkaṇṭhābhayatrāsakrodhaśokātikarśanāt|  ativyavāyānaśanācchukramojaśca hīyate||24||  tataḥ snehakṣayādvāyurvṛddho doṣāvudīrayan|  pratiśyāyaṃ jvaraṃ kāsamaṅgamardaṃ śirorujam||25|| śvāsaṃ viḍbhedamaruciṃ pārśvaśūlaṃ svarakṣayam|  karoti cāṃsasantāpamekādaśagadānimān [1] ||26||  liṅgānyāvedayantyetānyekādaśa mahāgadam|  samprāptaṃ rājayakṣmāṇaṃ kṣayāt prāṇakṣayapradam||27||,"Due to envy, anxiety, the absence of fear, anger, and sorrow, one's vigor and semen are depleted. Then, due to the decay of affection and the increase of faults, respiration, digestion, and bodily strength deteriorate. This results in symptoms such as a runny nose, cough, pain in the sides, hoarseness of voice, and fever. When these eleven severe symptoms appear, it is the onset of a type of consumption that leads to the destruction of life force. (translated using the given word split and their meanings)",
14,vividhānyannapānāni vaiṣamyeṇa samaśnataḥ|  janayantyāmayān ghorānviṣamānmārutādayaḥ||28||  srotāṃsi rudhirādīnāṃ vaiṣamyādviṣamaṃ gatāḥ|  ruddhvā rogāya kalpante puṣyanti ca na dhātavaḥ||29||  pratiśyāyaṃ prasekaṃ ca kāsaṃ chardimarocakam|  jvaramaṃsābhitāpaṃ ca chardanaṃ rudhirasya ca||30||  pārśvaśūlaṃ śiraḥśūlaṃ svarabhedamathāpi ca|  kaphapittānilakṛtaṃ liṅgaṃ vidyādyathākramam||31|| iti vyādhisamūhasya rogarājasya  hetujam|  rūpamekādaśavidhaṃ hetuścoktaścaturvidhaḥ||32||,"Various kinds of drinks, consumed in an uneven manner, generate severe imbalances; they produce toxins and disrupt the flow in the senses, such as those that originate from blood. When these toxins obstruct the natural pathways, they give rise to diseases and nourish them. In detail, the following are the causes of the manifestation of this king of diseases: uneven inhalations and exhalations, imbalanced digestion, improper use of sense organs, excessive or insufficient consumption of food, drinks, or rest, and physical injuries. These are the eleven forms of causes, as described in four categories.",
15,pūrvarūpaṃ pratiśyāyo daurbalyaṃ doṣadarśanam|  adoṣeṣvapi bhāveṣu kāye bībhatsadarśanam||33||  ghṛṇitvamaśnataścāpi balamāṃsaparikṣayaḥ|  strīmadyamāṃsapriyatā priyatā cāvaguṇṭhane||34||  makṣikāghuṇakeśānāṃ tṛṇānāṃ patanāni ca|  prāyo'nnapāne keśānāṃ nakhānāṃ cābhivardhanam||35|| patatribhiḥ pataṅgaiśca śvāpadaiścābhidharṣaṇam|  svapne keśāsthirāśīnāṃ bhasmanaścādhirohaṇam||36||  jalāśayānāṃ śailānāṃ vanānāṃ jyotiṣāmapi|  śuṣyatāṃ kṣīyamāṇānāṃ patatāṃ yacca darśanam||37||  prāgrūpaṃ bahurūpasya tajjñeyaṃ rājayakṣmaṇaḥ|38|,"At the outset, behold the symptoms of weakness: the misperception of virtue in what is faulty, and ugliness in the body; aversion, even to food, and loss of strength; a preference for the company of women and wine; and an inclination toward falsehood. Also observe falling hair, shedding of skin, excessive growth of nails, and the harassment by flies, ants, and birds; as well as the fading of ponds, mountains, forests, lights, and withering of things that are drying up or falling down. These are indicative of a royal consumption (rāja-yakṣmaṇaḥ), which is to be recognized by its various symptoms.",
16,rūpaṃ tvasya yathoddeśaṃ nirdekṣyāmi [1] sabheṣajam||38||  yathāsvenoṣmaṇā pākaṃ śārīrā yānti dhātavaḥ|  srotasā ca yathāsvena dhātuḥ puṣyati dhātutaḥ||39||  srotasāṃ sannirodhācca raktādīnāṃ ca saṅkṣayāt|  dhātūṣmaṇāṃ cāpacayādrājayakṣmā pravartate||40||  tasmin kāle pacatyagniryadannaṃ koṣṭhasaṃśritam|  malībhavati tat prāyaḥ kalpate kiñcidojase||41||  tasmāt purīṣaṃ saṃrakṣyaṃ viśeṣādrājayakṣmiṇaḥ|  sarvadhātukṣayārtasya balaṃ tasya hi viḍbalam||42||  rasaḥ srotaḥsu ruddheṣu svasthānastho vidahyate [2] |  sa ūrdhvaṃ kāsavegena bahurūpaḥ pravartate||43||  jāyante vyādhayaścātaḥ ṣaḍekādaśa vā punaḥ|  yeṣāṃ saṅghātayogena rājayakṣmeti kathyate||44||  kāsoṃ'satāpo vaisvaryaṃ jvaraḥ pārśvaśirorujā|  chardanaṃ raktakaphayoḥ śvāsavarcogado'ruciḥ||45||  rūpāṇyekādaśaitāni yakṣmaṇaḥ ṣaḍimāni vā|  kāso jvaraḥ pārśvaśūlaṃ svaravarcogado'ruciḥ||46||  sarvairardhaistribhirvā'pi liṅgairmāṃsabalakṣaye|  yukto varjyaścikitsyastu sarvarūpo'pyato'nyathā||47||,"In due course, I will describe his form, which is present in the body and develops through heat, just as food is cooked by fire; the bodily constituents are nourished by their own specific element; and when the flow of these elements is obstructed or they dwindle away, various diseases such as consumption arise. Therefore, one should protect the feces, which is of special importance in preventing wasting disease and weakness caused by the depletion of all bodily constituents. When digestion is obstructed, the person becomes debilitated; but if the excrement is evacuated, he soon recovers his strength. So, one should be careful to protect it. When there is an imbalance in the three dosas (humors), which are composed of the five elements and reside in the body, and the eleven organs, then ""wasting disease"" arises. The wasting disease takes various forms such as consumption, fever, pain in the sides or joints, thirst, loss of appetite, cough, indigestion, jaundice, and other symptoms, which can occur separately or in combination. If a person exhibits any of these symptoms, then he should be considered afflicted by wasting disease; if not, then not. The physical marks that indicate the presence of wasting disease are emaciation, fever, cough, pain in the sides, hoarseness of voice, and discoloration of urine and stool. If a person has all or some of these symptoms, he should be considered afflicted by wasting disease; if not, then not.",
17,ghrāṇamūle sthitaḥ śleṣmā rudhiraṃ pittameva vā|  mārutādhmātaśiraso mārutaṃ śyāyate prati||48|| pratiśyāyastato ghoro jāyate dehakarśanaḥ|  tasya rūpaṃ śiraḥśūlaṃ gauravaṃ ghrāṇaviplavaḥ||49||  jvaraḥ kāsaḥ kaphotkleśaḥ svarabhedo'ruciḥ klamaḥ|  indriyāṇāmasāmarthyaṃ yakṣmā cātaḥ [1] prajāyate||50||,"Located at the base of the sense of smell, either mucus or blood, or even wind, becomes aggravated when air element is disturbed in the head. Then, a terrifying condition arises causing imbalance and heaviness in the senses, leading to diseases like fever, cough, phlegm, hoarseness, fatigue, and wasting away.",
18,picchilaṃ bahalaṃ visraṃ haritaṃ śvetapītakam|  kāsamāno rasaṃ yakṣmī niṣṭhīvati [1] kaphānugam||51||,"Suffering from phlegm-related ailments, the one afflicted with cough expels mucus of various colors and consistencies – whether thick, thin, green, or pale.",
19,aṃsapārśvābhitāpaśca santāpaḥ  karapādayoḥ|  jvaraḥ sarvāṅgagaśceti lakṣaṇaṃ rājayakṣmaṇaḥ||52||,"The symptoms of royal consumption (a type of fever) are: a fever that strikes the area around the joints and hands; there is shaking, sweating, and inflammation in all limbs.",
20,vātātpittātkaphādraktāt kāsavegāt sapīnasāt|  svarabhedo bhavedvātādrūkṣaḥ kṣāmaścalaḥ svaraḥ||53||  tālukaṇṭhapariploṣaḥ pittādvaktumasūyate|  kaphādbhedo  vibaddhaśca svaraḥ khurakhurāyate  ||54||  sanno raktavibaddhatvāt svaraḥ kṛcchrāt pravartate|  kāsātivegāt kaṣaṇaḥ  pīnasātkaphavātikaḥ||55||  pārśvaśūlaṃ tvaniyataṃ saṅkocāyāmalakṣaṇam|  śiraḥśūlaṃ sasantāpaṃ yakṣmiṇaḥ syātsagauravam||56||,"If the symptoms of vata (wind), pitta (bile), kapha (phlegm), rakta (blood), kasa (cough), vega (movement), piunasaka (mucus), and sva (ether) become exaggerated, then the voice becomes rough, unstable, and harsh. If there is a split in kapha, the voice becomes constricted and husky. When rakta is bound, the voice becomes difficult to emit. When kasa and piunasaka are increased by vata, there is difficulty in breathing. A symptom of vata in the side of the body is a cramp-like pain; aniyatam (excessive) saṅkoca (contraction) is a sign of vata in the limbs. When siraḥśūlam (cervical syndrome) occurs, there is a sensation of heat in the head. Yakṣmiṇaḥ (tuberculosis) causes loss of honor and fame.",
21,abhisanne  śarīre tu yakṣmiṇo viṣamāśanāt|  kaṇṭhātpravartate raktaṃ śleṣmā cotkliṣṭasañcitaḥ||57||,"On the body, when there is an irregular ingestion in yaksmiṇa (a disease related to bile), from the throat, reddish pus formed by the accumulation of abnormal phlegm starts to flow.",
22,raktaṃ vibaddhamārgatvānmāṃsādīnnānupadyate  |  āmāśayasthamutkliṣṭaṃ bahutvāt kaṇṭhameti ca||58||  vātaśleṣmavibaddhatvādurasaḥ śvāsamṛcchati|  doṣairupahate cāgnau sapicchamatisāryate||59||,"Upon the binding of the veins, redness does not arise in the flesh and other components; due to the swelling of the thoracic region, because of the excess of phlegm and wind, pallor and emaciation occur when the bodily doshas are aggravated and the digestive fire is weakened.",
23,pṛthagdoṣaiḥ samastairvā jihvāhṛdayasaṃśritaiḥ|  jāyate'rucirāhāre dviṣṭairarthaiśca mānasaiḥ||60||  kaṣāyatiktamadhurairvidyānmukharasaiḥ kramāt|  vātādyairaruciṃ jātāṃ mānasīṃ doṣadarśanāt||61||,"Born insipid through senses and heart adhered to distinct faults, it becomes, over time, due to perception of mental impurities, progressively more palatable, tinged by sattvic, rajasic, and tamasic tastes, and influenced by the qualities of air and other elements.",
24,arocakāt kāsavegāddoṣotkleśādbhayādapi|  chardiryā sā vikārāṇāmanyeṣāmapyupadravaḥ||62||,"Even the one who is free from diseases and agitation, capable of discerning, and unafraid may be overwhelmed by this disturbance of others' afflictions.",
25,sarvastridoṣajo yakṣmā doṣāṇāṃ tu balābalam|  parīkṣyāvasthikaṃ vaidyaḥ śoṣiṇaṃ samupācaret||63||  pratiśyāye śiraḥśūle kāse śvāse svarakṣaye|  pārśvaśūle ca vividhāḥ kriyāḥ sādhāraṇīḥ śṛṇu||64||,"The physician should assess the relative strength of the ailments in a patient suffering from all types of disorders and consumptive fever. He should then apply common remedial measures at the head, neck, chest, sides, and various other locations, as well as for breath control and strengthening the voice.",
26,pīnase svedamabhyaṅgaṃ dhūmamālepanāni ca|  pariṣekāvagāhāṃśca yāvakaṃ [1] vāṭyameva ca||65||  lavaṇāmlakaṭūṣṇāṃśca rasān snehopabṛṃhitān|  lāvatittiridakṣāṇāṃ vartakānāṃ ca kalpayet||66||  sapippalīkaṃ sayavaṃ sakulatthaṃ sanāgaram|  dāḍimāmalakopetaṃ snigdhamājaṃ rasaṃ pibet||67||  tena ṣaḍvinivartante vikārāḥ pīnasādayaḥ|  mūlakānāṃ kulatthānāṃ yūṣairvā sūpakalpitaiḥ [2] ||68||  yavagodhūmaśālyannairyathāsātmyamupācaret|  pibetprasādaṃ vāruṇyā jalaṃ vā pāñcamūlikam||69||  dhānyanāgarasiddhaṃ vā tāmalakyā'thavā śṛtam|  parṇinībhiścatasṛbhistena cānnāni kalpayet||70||,"With salt, sour, pungent, and hot foods, along with oils abundantly, one should prepare dishes of barley, rice, wheat, jujube, and bitter gourd. One should drink the juice extracted from fresh leaves of betel, nutgrass, and pomegranate. By this, six changes such as thirst are pacified. Similarly, one should partake of foodstuffs like grains, fruits, and vegetables that agree with one’s nature, or rainwater, river water, or water from ponds.",
27,kṛśarotkārikāmāṣakulatthayavapāyasaiḥ|  saṅkarasvedavidhinā kaṇṭhaṃ pārśvamuraḥ śiraḥ||71||  svedayet patrabhaṅgeṇa śiraśca pariṣecayet|  balāguḍūcīmadhukaśṛtairvā vāribhiḥ sukhaiḥ||72||  bastamatsyaśirobhirvā nāḍīsvedaṃ prayojayet|  kaṇṭhe śirasi pārśve ca payobhirvā savātikaiḥ||73||  audakānūpamāṃsāni salilaṃ pāñcamūlikam|  sasnehamāranālaṃ vā nāḍīsvede prayojayet||74||  jīvantyāḥ śatapuṣpāyā balāyā madhukasya ca|  vacāyā veśavārasya vidāryā mūlakasya ca||75||  audakānūpamāṃsānāmupanāhāḥ susaṃskṛtāḥ|  śasyante sacatuḥsnehāḥ śiraḥpārśvāṃsaśūlinām||76||,"With a slim stick, make sweating motions on the neck, shoulder, and head using long strokes. Also sprinkle cool water on the body using a leaf or a conch shell filled with water infused with medicinal plants. Use water from the five rivers, or water that has touched gold, silver, gems, pearls, or sandalwood. For a person who is alive, use water that has touched flowers, fruits, leaves, and roots of trees such as madhuca (Indian Madder). Apply this water using a thin strip of cloth to the neck, shoulders, and limbs. This practice will help balance the bodily fluids and alleviate any discomforts.",
28,śatapuṣpā samadhukaṃ kuṣṭhaṃ tagaracandane|  ālepanaṃ syāt saghṛtaṃ śiraḥpārśvāṃsaśūlanut||77||,"Apply to the head, sides, and shoulders a paste made with one hundred blossoms, costus, tagara, and candana. This should be done with a steady hand.",
29,balā rāsnā tilāḥ sarpirmadhukaṃ nīlamutpalam|  palaṅkaṣā devadāru candanaṃ keśaraṃ ghṛtam||78||  vīrā balā vidārī ca kṛṣṇagandhā punarnavā|  śatāvarī payasyā ca kattṛṇaṃ madhukaṃ ghṛtam||79|| catvāra ete ślokārdhaiḥ pradehāḥ parikīrtitāḥ|  śastāḥ saṃsṛṣṭadoṣāṇāṃ śiraḥpārśvāṃsaśūlinām||80||,"The two verse halves describe eight remedies: 1) sesame oil, 2) butter from cow's milk, 3) honey, 4) blue lotus, 5) sandalwood paste, 6) red sandalwood, 7) liquor made from sugarcane, and 8) ghee. These are proclaimed to be destroyers of the flaws in the heads, sides, and limbs of the wicked.",
30,nāvanaṃ dhūmapānāni snehāścauttarabhaktikāḥ|  tailānyabhyaṅgayogīni [1] bastikarma tathā param||81|| śṛṅgālābujalaukobhiḥ praduṣṭaṃ vyadhanena vā|  śiraḥpārśvāṃsaśūleṣu rudhiraṃ tasya nirharet||82||,"With gold ornaments adorning the tips (of arrows), blood can be extracted from the head, sides, and joints of an impure elephant using a spear, or by wounding it, even if using money.",
31,pradehaḥ saghṛtaśceṣṭaḥ padmakośīracandanaiḥ|  dūrvāmadhukamañjiṣṭhākeśarairvā ghṛtāplutaiḥ||83||  prapauṇḍarīkanirguṇḍīpadmakeśaramutpalam [2] |  kaśerukāḥ payasyā ca sasarpiṣkaṃ pralepanam||84||  candanādyena tailena śatadhautena sarpiṣā|  abhyaṅgaḥ payasā sekaḥ śastaśca madhukāmbunā||85||  māhendreṇa suśītena candanādiśṛtena vā|  pariṣekaḥ prayoktavya iti saṃśamanī kriyā||86||,"The body, endowed with friendly movements, is to be anointed with a mixture of lotus, padma-kosha, candana, and fragrant powders such as dūrvā, madhuka, and mañjiṣṭhā keśaraiḥ, mixed with ghṛta. It should also be bathed with water, anointed with sacred substances such as candana, and sprinkled with water from a conch (ambunā), or with cold water from the heavenly river Māhendra. This is the recommended practice known as saṃśamanī kriyā.",
32,doṣādhikānāṃ vamanaṃ śasyate savirecanam|  snehasvedopapannānāṃ sasnehaṃ yanna karśanam||87||  śoṣī muñcati gātrāṇi purīṣasraṃsanādapi|  abalāpekṣiṇīṃ mātrāṃ kiṃ punaryo viricyate||88||,"For those with an excess of doshas, purgation is recommended; for those whose sweat is produced from natural affection, milder measures are called for. A weak person can be cleansed by the administration of a small amount of purgative, but what about someone strong?",
33,yogān saṃśuddhakoṣṭhānāṃ kāse śvāse svarakṣaye|  śiraḥpārśvāṃsaśūleṣu siddhānetānprayojayet||89||  balāvidārigandhādyairvidāryā [1] madhukena vā|  siddhaṃ salavaṇaṃ sarpirnasyaṃ syātsvaryamuttamam||90||  prapauṇḍarīkaṃ madhukaṃ pippalī bṛhatī balā|  kṣīraṃ [2] sarpiśca tatsiddhaṃ svaryaṃ syānnāvanaṃ param||91||,"Of yogic practices, one should apply to the pure (cleaned) cavities (of the body), in which (place) and with what (breath) should they be applied? In the head, sides, shoulders, and joints, these should be applied;

Word level split:
balā, avidāri, gandhādyaiḥ, vidārya, madhukena, vā, siddhaṃ, salavaṇaṃ, sarpir, nasyaṃ, syāt, svaryam,uttamam, prapauṇḍarīkaṃ, madhukaṃ, pippalī, bṛhatī, balā, kṣīraṃ, sarpiśca, tat, siddhaṃ, svaryaṃ, syān, nāvanaṃ, param

Translation: With strength and with the incision made by a sharp object, (the cavities) should be opened; using honey or juice, (the herbs) become effective and provide the best enhancement of the senses. Poundrika, Madhuka, Pippali, Brihati, and milk/ghee - these, when made pure, provide the ultimate enhancement of the senses.",
34,śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsanibarhaṇam|  prayujyamānaṃ bahuśo ghṛtaṃ cauttarabhaktikam||92|| daśamūlena payasā siddhaṃ māṃsarasena ca|  balāgarbhaṃ ghṛtaṃ sadyo rogānetān prabādhate||93||  bhaktasyopari madhye vā yathāgnyabhyavacāritam|  rāsnāghṛtaṃ vā sakṣīraṃ sakṣīraṃ vā balāghṛtam||94||  lehān kāsāpahān svaryāñ śvāsahikkānibarhaṇān|  śiraḥpārśvāṃsaśūlaghnān snehāṃścātaḥ paraṃ śṛṇu||95||  ghṛtaṃ kharjūramṛdvīkāśarkarākṣaudrasaṃyutam [3] |  sapippalīkaṃ vaisvaryakāsaśvāsajvarāpaham||96||  daśamūlaśṛtāt kṣīrāt sarpiryadudiyānnavam|  sapippalīkaṃ sakṣaudraṃ tat paraṃ svarabodhanam||97||  śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsajvarāpaham|  pañcabhiḥ pañcamūlairvā śṛtādyadudiyādghṛtam||98||  pañcānāṃ pañcamūlānāṃ rase kṣīracaturguṇe|  siddhaṃ sarpirjayatyetadyakṣmaṇaḥ saptakaṃ balam||99||  kharjūraṃ pippalī drākṣā pathyā śṛṅgī durālabhā|  triphalā pippalī mustaṃ śṛṅgāṭaguḍaśarkarāḥ||100||  vīrā śaṭī puṣkarākhyaṃ surasaḥ śarkarā guḍaḥ|  nāgaraṃ citrako lājāḥ pippalyāmalakaṃ guḍaḥ||101||  ślokārdhairvihitānetāṃllihyānnā madhusarpiṣā|  kāsaśvāsāpahānsvaryānpārśvaśūlāpahāṃstathā||102||,"Using the given word-split of the Sanskrit verse, here are the enhanced translations:

92.
head, sides, limbs, wound-healing, who, horse, weakness-removing, when used, ghee, often, northern part, devotion, made from, ten, roots, with, water, prepared, flesh juice, and, strength, embryo, immediately, diseases, these, cause.
Translation: Who, prepared with the northern part of the devotion made from ten roots and water, along with flesh juice and strength embryo, when used on head, sides, and limbs, removes horse-like weakness and cures these diseases immediately.

93.
ghee, bitter gourd, long pepper, black salt, taken together, made from, curd, with, rice, in, womb, born, strength, instantly, ailments, these, awakens.
Translation: Made from bitter gourd, long pepper, and black salt, taken together with curd and rice-womb born, instantly awakens the strength and cures these ailments.

94.
above, ghee, or, middle, fire ritual-like, or, strength, ghee, or, witness, testimony, or, strength, ghee.
Translation: Above, (use) either with ghee or in the middle as per fire ritual, or (use it) as a witness or with strength ghee.

95.
lehya, remove, phlegm, improve, voice, hiccups, weakness, head, sides, limbs, wound-healing, affectionate, and more, listen.
Translation: Lehya removes phlegm, improves voice, hiccups, weakness; is wound-healing and affectionate for the head, sides, and limbs, listen further.

96.
ghee, bitter gourd, long pepper, vinegar, rock salt, pippali, cures fever, difficult to find, three, fruits, musta, śṛṅgaṭaka, sugar, black salt.
Translation: With ghee, bitter gourd, long pepper, vinegar, rock salt, pippali, cures fever; three hard-to-find fruits,",
35,sitopalāṃ tugākṣīrīṃ pippalīṃ bahulāṃ tvacam|  antyādūrdhvaṃ dviguṇitaṃ lehayenmadhusarpiṣā||103||  cūrṇitaṃ prāśayedvā tacchvāsakāsakaphāturam [1] |  suptajihvārocakinamalpāgniṃ pārśvaśūlinam||104||,"Consuming well-ground sitopalā, tugakshirī, pippalī, abundant tvakam, with antyat to urdhvam doubled in size, sweetened with madhu and sarpiṣa, [1]
Crushed and consumed, it eliminates the ailment of shvasa-kasa [2], mildly igniting the agni of the Parshu-shulinam [3] while the tongue is asleep.",
36,hastapādāṅgadāheṣu jvare rakte tathordhvage|  vāsāghṛtaṃ śatāvaryā siddhaṃ vā paramaṃ hitam||105||,"In the sweaty hands and forearms during fever, either the clarified butter of a hundred cows or the supremely beneficial elixir is indeed efficacious when applied.",
37,durālabhāṃ śvadaṃṣṭrāṃ ca catasraḥ parṇinīrbalām|  bhāgānpalonmitān kṛtvā palaṃ parpaṭakasya ca||106||  paceddaśaguṇe toye daśabhāgāvaśeṣite|  rase supūte dravyāṇāmeṣāṃ kalkān samāvapet||107||  śaṭyāḥ puṣkaramūlasya pippalītrāyamāṇayoḥ|  tāmalakyāḥ kirātānāṃ tiktasya kuṭajasya ca||108||  phalānāṃ sārivāyāśca supiṣṭān karṣasammitān|  tatastena ghṛtaprasthaṃ kṣīradviguṇitaṃ pacet||109||  jvaraṃ dāhaṃ bhramaṃ kāsamaṃsapārśvaśirorujam|  tṛṣṇāṃ chardimatīsārametat sarpirvyapohati||110||,"Obtaining the sharp-fanged one (snake) is difficult; four parṇinī reeds of great strength, having divided the shares of the poisonous substance, prepared for the parpaṭaka, should cook it in tenfold the quantity of water, reduced to half. With the remaining half of that, mixed with twice the amount of milk, one should cook the juice extracted from the roots of śaṭya, pippalī, and kuṣmāṇḍa plants, tāmalaka fruits of Kirāta origin, and the ripe and superior quality fruits of ari and vāyā. This is what eliminates fever, burning sensation, dizziness, thirst, fatigue, and hunger.",
38,jīvantīṃ madhukaṃ drākṣāṃ phalāni kuṭajasya ca|  śaṭīṃ puṣkaramūlaṃ ca vyāghrīṃ gokṣurakaṃ balām||111||  nīlotpalaṃ tāmalakīṃ trāyamāṇāṃ durālabhām|  pippalīṃ ca samaṃ piṣṭvā ghṛtaṃ vaidyo vipācayet||112||  etadvyādhisamūhasya rogeśasya samutthitam|  rūpamekādaśavidhaṃ sarpiragryaṃ vyapohati||113||,"By mixing together in equal quantities the fruits of jīvantī, madhuka, drākṣā, kuṭaja, śaṭi, puṣkara, vyāghrī, gokṣuraka, the blue lotus, tāmalakī, which is being protected, and pippalī, and then cooking it with ghee, a physician can prepare a remedy for the manifestation of this disease, which takes on eleven different forms. The foremost serpent dispels this condition's appearance.",
39,balāṃ sthirāṃ pṛśniparṇīṃ bṛhatīṃ sanidigdhikām|  sādhayitvā rase tasminpayo gavyaṃ sanāgaram||114||  drākṣākharjūrasarpirbhiḥ pippalyā ca śṛtaṃ saha|  sakṣaudraṃ jvarakāsaghnaṃ svaryaṃ caitat prayojayet||115||  ājasya payasaścaivaṃ prayogo jāṅgalā rasāḥ|  yūṣārthe caṇakā mudgā makuṣṭhāścopakalpitāḥ||116||,"Having churned with force and vigor the firm pṛśni-parṇī bṛhatī, which is well-cooked, in that very liquid, add gavya together with drākṣā, kharjūra, sarpirbhiḥ, pippalyā, and saha. This kṣaudram, named jvara-kāsaghnam svaryam, should be used in the ājasya payasaḥ and also for jāṅgalā rasāḥ, as well as for the preparation of caṇakā, mudgā, makuṣṭhāścopakalpitāḥ intended for yūṣa.",
