id,sloka(iast),translation
15,pūrvarūpaṃ pratiśyāyo daurbalyaṃ doṣadarśanam|  adoṣeṣvapi bhāveṣu kāye bībhatsadarśanam||33||  ghṛṇitvamaśnataścāpi balamāṃsaparikṣayaḥ|  strīmadyamāṃsapriyatā priyatā cāvaguṇṭhane||34||  makṣikāghuṇakeśānāṃ tṛṇānāṃ patanāni ca|  prāyo'nnapāne keśānāṃ nakhānāṃ cābhivardhanam||35|| patatribhiḥ pataṅgaiśca śvāpadaiścābhidharṣaṇam|  svapne keśāsthirāśīnāṃ bhasmanaścādhirohaṇam||36||  jalāśayānāṃ śailānāṃ vanānāṃ jyotiṣāmapi|  śuṣyatāṃ kṣīyamāṇānāṃ patatāṃ yacca darśanam||37||  prāgrūpaṃ bahurūpasya tajjñeyaṃ rājayakṣmaṇaḥ|38|,"The premonitory symptoms (of rajayakshma) are coryza, debility, nitpicking (or an inclination to find faults where there is no reason to), morbid appearances on the body; feeling of disgust, loss of strength and flesh (inspite of consuming adequate food), craving for women, wine and meat, desire to be always covered by something (feeling of cold), imagined feeling of one’s food being infested with insects, flies, hair,, rapid growth of hairs and fingernails, imagined feeling of being attacked by birds, wasps, and animals, seeing dreams of climbing heaps of hair, bones, and ashes, and dreaming of dried or withered ponds, mountains, and forests- these are to be known as premonitory symptoms of rajayakshma of various types.[33-38]"
16,rūpaṃ tvasya yathoddeśaṃ nirdekṣyāmi [1] sabheṣajam||38||  yathāsvenoṣmaṇā pākaṃ śārīrā yānti dhātavaḥ|  srotasā ca yathāsvena dhātuḥ puṣyati dhātutaḥ||39||  srotasāṃ sannirodhācca raktādīnāṃ ca saṅkṣayāt|  dhātūṣmaṇāṃ cāpacayādrājayakṣmā pravartate||40||  tasmin kāle pacatyagniryadannaṃ koṣṭhasaṃśritam|  malībhavati tat prāyaḥ kalpate kiñcidojase||41||  tasmāt purīṣaṃ saṃrakṣyaṃ viśeṣādrājayakṣmiṇaḥ|  sarvadhātukṣayārtasya balaṃ tasya hi viḍbalam||42||  rasaḥ srotaḥsu ruddheṣu svasthānastho vidahyate [2] |  sa ūrdhvaṃ kāsavegena bahurūpaḥ pravartate||43||  jāyante vyādhayaścātaḥ ṣaḍekādaśa vā punaḥ|  yeṣāṃ saṅghātayogena rājayakṣmeti kathyate||44||  kāsoṃ'satāpo vaisvaryaṃ jvaraḥ pārśvaśirorujā|  chardanaṃ raktakaphayoḥ śvāsavarcogado'ruciḥ||45||  rūpāṇyekādaśaitāni yakṣmaṇaḥ ṣaḍimāni vā|  kāso jvaraḥ pārśvaśūlaṃ svaravarcogado'ruciḥ||46||  sarvairardhaistribhirvā'pi liṅgairmāṃsabalakṣaye|  yukto varjyaścikitsyastu sarvarūpo'pyato'nyathā||47||,"Now we will describe the pathogenesis, clinical features and management in brief.  Normally, the dhatus of the body get metabolised (being acted upon) by their own ushmas or dhatvagnis (transforming enzymes in the tissue elements). From these dhatus, (nutrient tissue elements), the other dhatus ( next dhatu to it that which receive nourishment) gets nourished through their respective srotas (channels of circulation). (For example, a poshaka rasa dhatu would nourish the rakta dhatu ).   Once, however, there is any obstruction to srotas or if there is diminution of stable tissue elements like rakta or if there is diminution of dhatu-ushmas or dhatvagnis then rajayakshma is manifested. In such a case, whatever food is digested in the gastrointestinal tract by jatharagni is mostly reduced to waste products and very little of it contributes to the formation of ojas (nourishment). The patient is depleted of all tissue elements and strength. The patient’s stool should be preserved and it is the only source of strength left with him. Because of the obstruction to the srotas, rasa dhatu becomes vidagdha (improperly metabolized) in its own location (heart) and this vitiated rasa comes out through the upper passages in different forms by way of coughing. Subsequently, six or eleven symptoms (or forms of diseases) are manifested, and their aggregation is the syndrome called rajayakshma. Cough, distress in shoulder, change of voice, fever, pain in flanks, headache, vomiting of rakta and kapha, dyspnea, diarrhea and anorexia are the eleven symptoms of rajayakshma ; or they are also six viz., cough, fever, pain in flanks, hoarseness of voice diarrhea and anorexia. With eleven, six or even three of the symptoms, a patient is incurable if he is losing mamsa (flesh tissues) and strength, but he is curable if he is behaving otherwise in spite of showing all the symptoms. [39-47]"
17,ghrāṇamūle sthitaḥ śleṣmā rudhiraṃ pittameva vā|  mārutādhmātaśiraso mārutaṃ śyāyate prati||48|| pratiśyāyastato ghoro jāyate dehakarśanaḥ|  tasya rūpaṃ śiraḥśūlaṃ gauravaṃ ghrāṇaviplavaḥ||49||  jvaraḥ kāsaḥ kaphotkleśaḥ svarabhedo'ruciḥ klamaḥ|  indriyāṇāmasāmarthyaṃ yakṣmā cātaḥ [1] prajāyate||50||,"The kapha or blood or pitta located at the root of the nasal passage cause nasal catarrh in the patients whose head is afflicted with vayu. This results in severe pratishyaya (coryza) affecting entire body of the patient, This leads to emaciation of the body; its signs and symptoms are headache, heaviness in the head, loss of smell, fever, cough, increase of mucous secretion, change of voice, anorexia fatigue and asthenia of the senses and then rajayakshma manifests.  [48-50]"
18,picchilaṃ bahalaṃ visraṃ haritaṃ śvetapītakam|  kāsamāno rasaṃ yakṣmī niṣṭhīvati [1] kaphānugam||51||,"Expectorates resulting from coughing (when afflicted with rajayakshma) contain slimy, thick, putrid, greenish or white-yellowish matter along with kapha. [51]"
19,aṃsapārśvābhitāpaśca santāpaḥ  karapādayoḥ|  jvaraḥ sarvāṅgagaśceti lakṣaṇaṃ rājayakṣmaṇaḥ||52||,"The typical characteristics of rajayakshma include a feeling of warmth (or burning sensation) in the shoulders and flanks, burning sensation in hands, and feet, and raised temperature all over the body.[52]"
20,vātātpittātkaphādraktāt kāsavegāt sapīnasāt|  svarabhedo bhavedvātādrūkṣaḥ kṣāmaścalaḥ svaraḥ||53||  tālukaṇṭhapariploṣaḥ pittādvaktumasūyate|  kaphādbhedo  vibaddhaśca svaraḥ khurakhurāyate  ||54||  sanno raktavibaddhatvāt svaraḥ kṛcchrāt pravartate|  kāsātivegāt kaṣaṇaḥ  pīnasātkaphavātikaḥ||55||  pārśvaśūlaṃ tvaniyataṃ saṅkocāyāmalakṣaṇam|  śiraḥśūlaṃ sasantāpaṃ yakṣmiṇaḥ syātsagauravam||56||,"Hoarseness of voice is engendered by morbid vata, pitta or kapha or blood or by, strain of coughing or by coryza. The voice becomes husky, feeble and unstable if caused by vata; if by pitta, there will be burning of the palate and throat and the patient will refrain from talking; and if due to kapha, the voice is low, choked and is marked with a wheezing sound; owing to the obstruction to the flow of blood, the voice becomes low and comes out with difficulty; the throat becomes injured by the strain of exorbitant coughing and in case of coryza, the characterstics of the voice resemble the condition in vata and kapha afflictions.   The rajayakshma patient is afflicted with pain in the sides of the chest (flanks) which is inconsistent and manifests during constriction and expansion of chest during breathing, with headache, burning and heaviness.[53-56]"
21,abhisanne  śarīre tu yakṣmiṇo viṣamāśanāt|  kaṇṭhātpravartate raktaṃ śleṣmā cotkliṣṭasañcitaḥ||57||,"In the emaciated condition of rajayakshma patients’ indulgence in irregular diet causes expectoration of blood. The kapha too, having been vitiated, is expectorated from the throat. [57]"
22,raktaṃ vibaddhamārgatvānmāṃsādīnnānupadyate  |  āmāśayasthamutkliṣṭaṃ bahutvāt kaṇṭhameti ca||58||  vātaśleṣmavibaddhatvādurasaḥ śvāsamṛcchati|  doṣairupahate cāgnau sapicchamatisāryate||59||,"Owing to obstruction in the circulation, the blood does not nourish the flesh tissues and other body elements. The blood staying in the stomach, getting agitated owing to incremented quantity, passes to the throat. Due to the obstruction of vata and kapha in the chest, there occurs dyspnea and the agni, being impaired by the morbid humors, causes the patient to pass loose and slimy stools.[57-59]"
23,pṛthagdoṣaiḥ samastairvā jihvāhṛdayasaṃśritaiḥ|  jāyate'rucirāhāre dviṣṭairarthaiśca mānasaiḥ||60||  kaṣāyatiktamadhurairvidyānmukharasaiḥ kramāt|  vātādyairaruciṃ jātāṃ mānasīṃ doṣadarśanāt||61||,"Anorexia or dislike for food is caused by morbidity of one or all the three doshas in the tongue or heart or by repugnant perceptions. By knowing the astringent, bitter or sweet taste in the mouth, anorexia is to be diagnosed as caused due to dominance of vata, pitta or kapha respectively. Anorexia due to morbid perceptions is psychosomatic, caused due to visually observing disturbing or morbid visuals. [60-61]"
24,arocakāt kāsavegāddoṣotkleśādbhayādapi|  chardiryā sā vikārāṇāmanyeṣāmapyupadravaḥ||62||,"Regurgitating or vomiting is caused by anorexia, bouts of coughing, and the precipitation of morbid dosha and as a result of fear; it occurs as a complication of other diseases additionally. [62]"
25,sarvastridoṣajo yakṣmā doṣāṇāṃ tu balābalam|  parīkṣyāvasthikaṃ vaidyaḥ śoṣiṇaṃ samupācaret||63||  pratiśyāye śiraḥśūle kāse śvāse svarakṣaye|  pārśvaśūle ca vividhāḥ kriyāḥ sādhāraṇīḥ śṛṇu||64||,"All types of rajayakshma are caused due to vitiated three doshas and hence the physician should treat the patient after examining the degree of intensity of the morbid dosha and the vigor of the patient. The physician should carefully observe the status (of patient) – by the symptoms such as coryza, headache, cough, dyspnea, asthenia of the voice and pain in flanks. [63-64]"
26,pīnase svedamabhyaṅgaṃ dhūmamālepanāni ca|  pariṣekāvagāhāṃśca yāvakaṃ [1] vāṭyameva ca||65||  lavaṇāmlakaṭūṣṇāṃśca rasān snehopabṛṃhitān|  lāvatittiridakṣāṇāṃ vartakānāṃ ca kalpayet||66||  sapippalīkaṃ sayavaṃ sakulatthaṃ sanāgaram|  dāḍimāmalakopetaṃ snigdhamājaṃ rasaṃ pibet||67||  tena ṣaḍvinivartante vikārāḥ pīnasādayaḥ|  mūlakānāṃ kulatthānāṃ yūṣairvā sūpakalpitaiḥ [2] ||68||  yavagodhūmaśālyannairyathāsātmyamupācaret|  pibetprasādaṃ vāruṇyā jalaṃ vā pāñcamūlikam||69||  dhānyanāgarasiddhaṃ vā tāmalakyā'thavā śṛtam|  parṇinībhiścatasṛbhistena cānnāni kalpayet||70||,"In coryza, sudation, inunction, smoke application, effusion, bath, cooked barley and barley gruel, meat juices of quail, partridge, chicken and vartaka quail prepared with salt, acid, pungent, sultry and unctuous articles should be given. The patient should imbibe the juice of goat-meat prepared with long pepper, barley, horse gram, dry ginger, pomegranate or emblic myrobalan and unctuous articles. By taking this, the hexad of coryza and other disorders vanishes. The patient should be treated with a suitable diet of soups made up of radish or horse gram or out of staple food composed of barley, wheat or shali rice. A potion made up of the clear supernatant part of varuni wine or water, prepared with pentaradix, or with coriander and dry ginger or with feather-foil, or with the tetrad of herbs called parnini is advised. Articles of diet may additionally be consumed with these decoctions.[65-70]"
27,kṛśarotkārikāmāṣakulatthayavapāyasaiḥ|  saṅkarasvedavidhinā kaṇṭhaṃ pārśvamuraḥ śiraḥ||71||  svedayet patrabhaṅgeṇa śiraśca pariṣecayet|  balāguḍūcīmadhukaśṛtairvā vāribhiḥ sukhaiḥ||72||  bastamatsyaśirobhirvā nāḍīsvedaṃ prayojayet|  kaṇṭhe śirasi pārśve ca payobhirvā savātikaiḥ||73||  audakānūpamāṃsāni salilaṃ pāñcamūlikam|  sasnehamāranālaṃ vā nāḍīsvede prayojayet||74||  jīvantyāḥ śatapuṣpāyā balāyā madhukasya ca|  vacāyā veśavārasya vidāryā mūlakasya ca||75||  audakānūpamāṃsānāmupanāhāḥ susaṃskṛtāḥ|  śasyante sacatuḥsnehāḥ śiraḥpārśvāṃsaśūlinām||76||,"The throat, the flanks, the chest and the head regions should be made to sweat by a commixed type of lump sudation prepared using krushara (a type of gruel), utkarika (hot poultice), ebony gram, horse gram, barley and milk pudding; or the head should be effused genially with warm decoction prepared using the leaves of heart leaved sida, guduchi and liquorice; or the steam kettle sudation prepared with the decoctions of  the heads of goat and fish or with vata pacifying decoctions should be utilized for sweating the throat, head and sides of the chest. The flesh of aquatic and wet land animals, the decoction of pentaradix or sour conjee with unctuous articles may be utilized in steam kettle sudation. The poultices well prepared with cork swallow wort, heart of dil seeds, leaved sida, liquorice, saccharine flag cooked meat, white yam, radish, the flesh of aquatic and wet land creatures and commixed with all the four kinds of unctuous articles should be applied to persons suffering from pain applied to persons suffering from pain in the head, side of the chest and shoulder region.[71-76]"
28,śatapuṣpā samadhukaṃ kuṣṭhaṃ tagaracandane|  ālepanaṃ syāt saghṛtaṃ śiraḥpārśvāṃsaśūlanut||77||,"Dil, liquorice, costus, Indian valerian and sandalwood with ghee make an effective curative for pain in the head, sides of the chest and shoulder regions. [77]"
29,balā rāsnā tilāḥ sarpirmadhukaṃ nīlamutpalam|  palaṅkaṣā devadāru candanaṃ keśaraṃ ghṛtam||78||  vīrā balā vidārī ca kṛṣṇagandhā punarnavā|  śatāvarī payasyā ca kattṛṇaṃ madhukaṃ ghṛtam||79|| catvāra ete ślokārdhaiḥ pradehāḥ parikīrtitāḥ|  śastāḥ saṃsṛṣṭadoṣāṇāṃ śiraḥpārśvāṃsaśūlinām||80||,"Heart leaved sida, Indian groundsel, til, ghee, liquorice and blue water-lily; gum , guggulu, deodar, sandalwood, fragrant poon and ghee; climbing asparagus, heart leaved sida, white yam, drumstick and hog’s weed; climbing asparagus, milky yam, ginger grass, liquorice and ghee: these four groups of drugs, described one in each half verse for preparation of application are propitious in conditions of pain in the head, side of the chest and the shoulder region arising from bi-dosha discordance. [78-80]"
30,nāvanaṃ dhūmapānāni snehāścauttarabhaktikāḥ|  tailānyabhyaṅgayogīni [1] bastikarma tathā param||81|| śṛṅgālābujalaukobhiḥ praduṣṭaṃ vyadhanena vā|  śiraḥpārśvāṃsaśūleṣu rudhiraṃ tasya nirharet||82||,"Nasal errhines, medicated smokes, post prandial unctuous potions, inunctions with medicated oils, and enemata are very useful options to help ease pain. In conditions of pain in the head, flanks and shoulder region, the vitiated blood should be depleted by betokens of the horn, bottle gourd, application of leeches or venesection.[81-82]"
31,pradehaḥ saghṛtaśceṣṭaḥ padmakośīracandanaiḥ|  dūrvāmadhukamañjiṣṭhākeśarairvā ghṛtāplutaiḥ||83||  prapauṇḍarīkanirguṇḍīpadmakeśaramutpalam [2] |  kaśerukāḥ payasyā ca sasarpiṣkaṃ pralepanam||84||  candanādyena tailena śatadhautena sarpiṣā|  abhyaṅgaḥ payasā sekaḥ śastaśca madhukāmbunā||85||  māhendreṇa suśītena candanādiśṛtena vā|  pariṣekaḥ prayoktavya iti saṃśamanī kriyā||86||,"The application of Himalayan cherry, cuscus grass and sandal wood with ghee is salutary; or the application of scitch grass, liquorice, Indian madder and fragrant poon soaked in ghee; or the application composed of tubers of white lotus chaste tree, red lotus, fragrant poon, blue water lily, rushnut and milky yam with ghee. Inunction with the compound sandal oil or ghee processed for hundred times and affusion with milk or liquorice water are recommended. Effusion with cold rainwater or the sandalwood group should be given. Thus the pacification treatment has been described.. [83-86]"
32,doṣādhikānāṃ vamanaṃ śasyate savirecanam|  snehasvedopapannānāṃ sasnehaṃ yanna karśanam||87||  śoṣī muñcati gātrāṇi purīṣasraṃsanādapi|  abalāpekṣiṇīṃ mātrāṃ kiṃ punaryo viricyate||88||,"In cases of excessively aggravated dosha, mild therapeutic emesis and purgation therapies after proper snehana (oleation) and swedana (sudation) which do not cause emaciation can be administered. The emaciated man (consumptive) may suffer death even on loosening of stools. Then what can be said if a strong dose of purification is given in rajayakshma patient beyond his tolerance?[87-88]"
33,yogān saṃśuddhakoṣṭhānāṃ kāse śvāse svarakṣaye|  śiraḥpārśvāṃsaśūleṣu siddhānetānprayojayet||89||  balāvidārigandhādyairvidāryā [1] madhukena vā|  siddhaṃ salavaṇaṃ sarpirnasyaṃ syātsvaryamuttamam||90||  prapauṇḍarīkaṃ madhukaṃ pippalī bṛhatī balā|  kṣīraṃ [2] sarpiśca tatsiddhaṃ svaryaṃ syānnāvanaṃ param||91||,"When the alimentary system is well purified, the following tested recipes should be utilized for the remedy of cough, dyspnea, loss of voice and pain in the head, sides of the chest and shoulder region:  Ghee admixed with heart-leaved sida and tick-trefoil group of drugs or with white yam or with liquorice and salted, makes good nasal medication for the amelioration of voice. Ghee admixed with the tubers of white lotus, liquorice long pepper, Indian nightshade, heart leaved sida and milk is an excellent nasal medication for the amendment of the voice. [89-91]"
34,śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsanibarhaṇam|  prayujyamānaṃ bahuśo ghṛtaṃ cauttarabhaktikam||92|| daśamūlena payasā siddhaṃ māṃsarasena ca|  balāgarbhaṃ ghṛtaṃ sadyo rogānetān prabādhate||93||  bhaktasyopari madhye vā yathāgnyabhyavacāritam|  rāsnāghṛtaṃ vā sakṣīraṃ sakṣīraṃ vā balāghṛtam||94||  lehān kāsāpahān svaryāñ śvāsahikkānibarhaṇān|  śiraḥpārśvāṃsaśūlaghnān snehāṃścātaḥ paraṃ śṛṇu||95||  ghṛtaṃ kharjūramṛdvīkāśarkarākṣaudrasaṃyutam [3] |  sapippalīkaṃ vaisvaryakāsaśvāsajvarāpaham||96||  daśamūlaśṛtāt kṣīrāt sarpiryadudiyānnavam|  sapippalīkaṃ sakṣaudraṃ tat paraṃ svarabodhanam||97||  śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsajvarāpaham|  pañcabhiḥ pañcamūlairvā śṛtādyadudiyādghṛtam||98||  pañcānāṃ pañcamūlānāṃ rase kṣīracaturguṇe|  siddhaṃ sarpirjayatyetadyakṣmaṇaḥ saptakaṃ balam||99||  kharjūraṃ pippalī drākṣā pathyā śṛṅgī durālabhā|  triphalā pippalī mustaṃ śṛṅgāṭaguḍaśarkarāḥ||100||  vīrā śaṭī puṣkarākhyaṃ surasaḥ śarkarā guḍaḥ|  nāgaraṃ citrako lājāḥ pippalyāmalakaṃ guḍaḥ||101||  ślokārdhairvihitānetāṃllihyānnā madhusarpiṣā|  kāsaśvāsāpahānsvaryānpārśvaśūlāpahāṃstathā||102||,"The frequent utilization of ghee as a post prandial potion remedies the pain in the head, sides of the chest and shoulder region in addition to curing cough and dyspnea. Ghee prepared with the decoction of dashamula (group of ten roots), milk, meat juice and the pulp of heart leaved sida is a quick remedy for all these disorders. The Indian groundsell ghee should be administered with milk or heart-leaved sida ghee or should be administered with milk (in the above complaints) either after or during the course of meals, in a dose considering the agni of the patient. Listen hereafter the description of the linctuses and unctuous preparations that are curative of cough, improving quality of voice, dyspnea, hiccup and pain in the head, flanks and shoulder region. Ghee prepared of dates and grapes and commixed with sugar, honey and long pepper is curative of hoarseness of voice, cough, dyspnea and fever. Fresh ghee prepared from the milk in which the dashamula ( group of ten roots) has been decocted and commixed with long pepper and honey, is an excellent tonic for the voice, is curative of pain in the head, sides of the chest and shoulder region, and remedies cough, dyspnea and fever. Another effective remedy is fresh ghee prepared from the milk in which have been decocted the roots of all the five varieties of panchamula. The ghee, prepared in the decoction of all the five varieties of panchamula with four times its quantity of milk, subdues the rigor of the syndrome of seven of the key symptoms of rajayakshma. Dates, long pepper, grapes, chebulic myrobalans, galls, and cretan prickly clover ; (2) the three myrobalans , long pepper, nut-grass, Indian water-chestnut, gur and sugar; (3) climbing asparagus, zedoary orris root, holy basils, sugar and gur; (4) dry ginger, white-flowered leadwort roasted paddy, long pepper, emblic myrobalan and gur: of any of these groups of drugs mentioned in each of the hemistichs, a lincture may be made and taken with honey and ghee. They are curative of cough, dyspnea and pain in flanks, and as voice-tonics.[92-102]"
35,sitopalāṃ tugākṣīrīṃ pippalīṃ bahulāṃ tvacam|  antyādūrdhvaṃ dviguṇitaṃ lehayenmadhusarpiṣā||103||  cūrṇitaṃ prāśayedvā tacchvāsakāsakaphāturam [1] |  suptajihvārocakinamalpāgniṃ pārśvaśūlinam||104||,"Sugar candy, bamboo manna, long pepper, cardamom and cinnamon - each taken in double the quantity of the preceding one (in the order mentioned here) should be  ground into a powder and admixed with honey and ghee, and administered as a lincture; or the powder may be taken by itself. This remedies dyspnea, cough and excess of kapha. It can be given to the patients suffering from anesthesia of tongue, anorexia, poor digestive fire and pleurodynia.[103-104]"
