id,sloka,translation,Unnamed: 3
11,iti sāhasiko yakṣmā rūpairetaiḥ prapadyate|  ekādaśabhirātmajño bhajettasmānna  sāhasam||19||,"Thus, a courageous person seeks protection with these forms, one who knows the self should worship him, not without courage.",
12,hrīmattvādvā ghṛṇitvādvā bhayādvā vegamāgatam|  vātamūtrapurīṣāṇāṃ nigṛhṇāti yadā naraḥ||20||  tadā vegapratīghātāt kaphapitte samīrayan|  ūrdhvaṃ tiryagadhaścaiva vikārān kurute'nilaḥ||21||  pratiśyāyaṃ ca kāsaṃ ca svarabhedamarocakam|  pārśvaśūlaṃ śiraḥśūlaṃ jvaramaṃsāvamardanam||22||  aṅgamardaṃ muhuśchardiṃ varcobhedaṃ trilakṣaṇam|  rūpāṇyekādaśaitāni yakṣmā yairucyate mahān||23||,"When a person restrains the wind-like force of the movements of feces, urine, and other excretions of the body, then they can control the incoming rush of fear, shame, or excitement. When they do this, they can cause changes in the body that move upwards, sideways, and downwards, and can produce a total of eleven distinct symptoms associated with the disease known as ""mahān yakṣmā."" These symptoms include changes in the body, tremors, fluctuations in body heat, fainting, delirium, unconsciousness, and more.",
13,īrṣyotkaṇṭhābhayatrāsakrodhaśokātikarśanāt|  ativyavāyānaśanācchukramojaśca hīyate||24||  tataḥ snehakṣayādvāyurvṛddho doṣāvudīrayan|  pratiśyāyaṃ jvaraṃ kāsamaṅgamardaṃ śirorujam||25|| śvāsaṃ viḍbhedamaruciṃ pārśvaśūlaṃ svarakṣayam|  karoti cāṃsasantāpamekādaśagadānimān [1] ||26||  liṅgānyāvedayantyetānyekādaśa mahāgadam|  samprāptaṃ rājayakṣmāṇaṃ kṣayāt prāṇakṣayapradam||27||,"Consumed by envy, thirst, fear, anger, and exhaustion, virility and vigor diminish. Then, due to the depletion of bodily fluids, the wind within becomes aggravated, causing dryness, aging, and the emergence of two doshas. This, in turn, leads to symptoms such as fever, inflammation in various body parts, headaches, and loss of appetite. Furthermore, the patient may experience sensations of burning, tremors, delirium, and hallucinations. When a great calamity, like the royal consumption (rājayakṣmāṇa), arrives, it can hasten the patient's demise, threatening their very life force.",
14,vividhānyannapānāni vaiṣamyeṇa samaśnataḥ|  janayantyāmayān ghorānviṣamānmārutādayaḥ||28||  srotāṃsi rudhirādīnāṃ vaiṣamyādviṣamaṃ gatāḥ|  ruddhvā rogāya kalpante puṣyanti ca na dhātavaḥ||29||  pratiśyāyaṃ prasekaṃ ca kāsaṃ chardimarocakam|  jvaramaṃsābhitāpaṃ ca chardanaṃ rudhirasya ca||30||  pārśvaśūlaṃ śiraḥśūlaṃ svarabhedamathāpi ca|  kaphapittānilakṛtaṃ liṅgaṃ vidyādyathākramam||31|| iti vyādhisamūhasya rogarājasya  hetujam|  rūpamekādaśavidhaṃ hetuścoktaścaturvidhaḥ||32||,"Different kinds of beverages, when consumed in a particular way, produce various harmful effects; they generate serious ailments such as inflammation, etc., due to the imbalance caused by the elements like wind, etc. The veins and arteries get filled with impure blood due to this imbalance; when these elements are obstructed, they cause diseases, while in a balanced state, they promote growth. The symptoms of this affliction include: burning sensation in the throat, indigestion, wasting of bodily tissues, bleeding, etc.; symptoms like side-stitches, headaches, disruption of voice, etc.; and symptoms caused by an increase in phlegm, bile, or wind; all these, described in order, are the causes of this disease. This explanation covers eleven aspects of the cause, and there are four types of causes mentioned.",
15,pūrvarūpaṃ pratiśyāyo daurbalyaṃ doṣadarśanam|  adoṣeṣvapi bhāveṣu kāye bībhatsadarśanam||33||  ghṛṇitvamaśnataścāpi balamāṃsaparikṣayaḥ|  strīmadyamāṃsapriyatā priyatā cāvaguṇṭhane||34||  makṣikāghuṇakeśānāṃ tṛṇānāṃ patanāni ca|  prāyo'nnapāne keśānāṃ nakhānāṃ cābhivardhanam||35|| patatribhiḥ pataṅgaiśca śvāpadaiścābhidharṣaṇam|  svapne keśāsthirāśīnāṃ bhasmanaścādhirohaṇam||36||  jalāśayānāṃ śailānāṃ vanānāṃ jyotiṣāmapi|  śuṣyatāṃ kṣīyamāṇānāṃ patatāṃ yacca darśanam||37||  prāgrūpaṃ bahurūpasya tajjñeyaṃ rājayakṣmaṇaḥ|38|,"The one who appeared before, what is seen as weakness in him, and in various forms, what is considered as a flaw, even in flawless situations, what appears as repulsive in the body, power becomes diminished in you, what is fond of femininity, flesh, and what finds pleasure in the middle of unguents; what causes hair to fall, causes nails to grow, what causes hair to stand on end in a dream, what causes ashes to settle on the head; what appears in drying ponds, mountains, forests, and even in stars, when they are waning and falling; what appears as the previous form of a many-formed one, this must be understood as the royal disease.",
16,rūpaṃ tvasya yathoddeśaṃ nirdekṣyāmi [1] sabheṣajam||38||  yathāsvenoṣmaṇā pākaṃ śārīrā yānti dhātavaḥ|  srotasā ca yathāsvena dhātuḥ puṣyati dhātutaḥ||39||  srotasāṃ sannirodhācca raktādīnāṃ ca saṅkṣayāt|  dhātūṣmaṇāṃ cāpacayādrājayakṣmā pravartate||40||  tasmin kāle pacatyagniryadannaṃ koṣṭhasaṃśritam|  malībhavati tat prāyaḥ kalpate kiñcidojase||41||  tasmāt purīṣaṃ saṃrakṣyaṃ viśeṣādrājayakṣmiṇaḥ|  sarvadhātukṣayārtasya balaṃ tasya hi viḍbalam||42||  rasaḥ srotaḥsu ruddheṣu svasthānastho vidahyate [2] |  sa ūrdhvaṃ kāsavegena bahurūpaḥ pravartate||43||  jāyante vyādhayaścātaḥ ṣaḍekādaśa vā punaḥ|  yeṣāṃ saṅghātayogena rājayakṣmeti kathyate||44||  kāsoṃ'satāpo vaisvaryaṃ jvaraḥ pārśvaśirorujā|  chardanaṃ raktakaphayoḥ śvāsavarcogado'ruciḥ||45||  rūpāṇyekādaśaitāni yakṣmaṇaḥ ṣaḍimāni vā|  kāso jvaraḥ pārśvaśūlaṃ svaravarcogado'ruciḥ||46||  sarvairardhaistribhirvā'pi liṅgairmāṃsabalakṣaye|  yukto varjyaścikitsyastu sarvarūpo'pyato'nyathā||47||,"In this way, the bodily tissues, nourished by their respective elements, go to their respective locations, as food is cooked by fire kindled by friction. Just as the sap flows in plants through the roots, similarly the elements thrive in the body through the channels. When the flow in the channels is obstructed, and the elements diminish due to wasting of tissues, then consumption, characterized by wasting of flesh, arises. Therefore, one should protect the excrement, which is the source of all three types of wasting, especially during ailments causing wasting of flesh, as it becomes the strength of a person afflicted by all kinds of wasting, except in other cases. When the flow in the channels is impeded, a variety of diseases such as fever, diarrhea, etc., arise, which, when combined, lead to consumption. The symptoms of consumption are cough, fever, pain in the sides or head, expercation of blood, anorexia, fainting, etc. The wasting diseases can be of eleven or sixteen types, characterized by loss of flesh, fever, pain in the sides or head, change in voice, cough, etc. When one is affected by wasting diseases, especially those that cause loss of flesh, he should avoid all actions that cause loss of flesh, and should seek medical treatment, otherwise, he will not be able to recover.",
17,ghrāṇamūle sthitaḥ śleṣmā rudhiraṃ pittameva vā|  mārutādhmātaśiraso mārutaṃ śyāyate prati||48|| pratiśyāyastato ghoro jāyate dehakarśanaḥ|  tasya rūpaṃ śiraḥśūlaṃ gauravaṃ ghrāṇaviplavaḥ||49||  jvaraḥ kāsaḥ kaphotkleśaḥ svarabhedo'ruciḥ klamaḥ|  indriyāṇāmasāmarthyaṃ yakṣmā cātaḥ [1] prajāyate||50||,"At the base of the nose, established are phlegm, or blood, or bile; or it is moved by the wind generated in the head. When it is agitated, a dreadful tremor of the body arises, resembling a thunderbolt. From it originates fever, cough, phlegm, bile disorders, voice disorders, exhaustion, and wasting of the senses, as well as consumption.",
18,picchilaṃ bahalaṃ visraṃ haritaṃ śvetapītakam|  kāsamāno rasaṃ yakṣmī niṣṭhīvati [1] kaphānugam||51||,"A person afflicted with phlegm, excessive, dispersed, greenish-yellow, pale-yellow, desirous of water, and thin constantly excretes kapha (mucus).",
19,aṃsapārśvābhitāpaśca santāpaḥ  karapādayoḥ|  jvaraḥ sarvāṅgagaśceti lakṣaṇaṃ rājayakṣmaṇaḥ||52||,"The symptoms of royal fever are burnings on the sides and soles of the hands, fever throughout the body, and generally feeling unwell.",
20,vātātpittātkaphādraktāt kāsavegāt sapīnasāt|  svarabhedo bhavedvātādrūkṣaḥ kṣāmaścalaḥ svaraḥ||53||  tālukaṇṭhapariploṣaḥ pittādvaktumasūyate|  kaphādbhedo  vibaddhaśca svaraḥ khurakhurāyate  ||54||  sanno raktavibaddhatvāt svaraḥ kṛcchrāt pravartate|  kāsātivegāt kaṣaṇaḥ  pīnasātkaphavātikaḥ||55||  pārśvaśūlaṃ tvaniyataṃ saṅkocāyāmalakṣaṇam|  śiraḥśūlaṃ sasantāpaṃ yakṣmiṇaḥ syātsagauravam||56||,"If the wind's blasting, bile's origin, and the change in phlegm and blood, become distinct, then the sound becomes rough, unstable, and harsh. If the sound becomes constricted in the throat and vocal cords due to phlegm, it produces a tied up and whispering sound. If the sound becomes obstructed due to the binding of blood, it produces a strained and unpleasant sound. The symptoms of ailments on the sides, such as pains and coughs, can be identified by their specific characteristics, as well as fever from an affliction of the head.",
21,abhisanne  śarīre tu yakṣmiṇo viṣamāśanāt|  kaṇṭhātpravartate raktaṃ śleṣmā cotkliṣṭasañcitaḥ||57||,"In a diseased body, as well, red blood flows from the throat due to the intake of incompatible food and being accumulated and aggravated with phlegm.",
22,raktaṃ vibaddhamārgatvānmāṃsādīnnānupadyate  |  āmāśayasthamutkliṣṭaṃ bahutvāt kaṇṭhameti ca||58||  vātaśleṣmavibaddhatvādurasaḥ śvāsamṛcchati|  doṣairupahate cāgnau sapicchamatisāryate||59||,"The flesh and other such components do not arise when veins are constricted; they arise when the cavity within becomes distended due to their abundance. The neck becomes swollen due to the conglomeration of vata and kapha, and is scorched when affected by impurities in the fire of digestion; it becomes excessively heated.",
23,pṛthagdoṣaiḥ samastairvā jihvāhṛdayasaṃśritaiḥ|  jāyate'rucirāhāre dviṣṭairarthaiśca mānasaiḥ||60||  kaṣāyatiktamadhurairvidyānmukharasaiḥ kramāt|  vātādyairaruciṃ jātāṃ mānasīṃ doṣadarśanāt||61||,"With distinct faults attached to the tongue and heart, one is born, tainted by disliked thoughts and mental dispositions. Gradually, however, knowledgeable speech, endowed with sweet yet purged flavors, emerges, overcoming initial unwelcome mental impressions, through the emergence of wind and other related factors.",
24,arocakāt kāsavegāddoṣotkleśādbhayādapi|  chardiryā sā vikārāṇāmanyeṣāmapyupadravaḥ||62||,"Even from a slight fever, impatience, fault, or excessive aversion, and fear, this agitation does not arise for her. Rather, she is the calmness that subdues all such disturbances in others.",
25,sarvastridoṣajo yakṣmā doṣāṇāṃ tu balābalam|  parīkṣyāvasthikaṃ vaidyaḥ śoṣiṇaṃ samupācaret||63||  pratiśyāye śiraḥśūle kāse śvāse svarakṣaye|  pārśvaśūle ca vividhāḥ kriyāḥ sādhāraṇīḥ śṛṇu||64||,"The physician should examine the strength of all the disorders, including that of the consumptive disease, and apply treatment to the weakened ones. He should attend to the head at the onset of symptoms, to the chest in coughing, to the throat when swallowing, and to the sides when there is difficulty in breathing, as well as various other treatments as needed.",
26,pīnase svedamabhyaṅgaṃ dhūmamālepanāni ca|  pariṣekāvagāhāṃśca yāvakaṃ [1] vāṭyameva ca||65||  lavaṇāmlakaṭūṣṇāṃśca rasān snehopabṛṃhitān|  lāvatittiridakṣāṇāṃ vartakānāṃ ca kalpayet||66||  sapippalīkaṃ sayavaṃ sakulatthaṃ sanāgaram|  dāḍimāmalakopetaṃ snigdhamājaṃ rasaṃ pibet||67||  tena ṣaḍvinivartante vikārāḥ pīnasādayaḥ|  mūlakānāṃ kulatthānāṃ yūṣairvā sūpakalpitaiḥ [2] ||68||  yavagodhūmaśālyannairyathāsātmyamupācaret|  pibetprasādaṃ vāruṇyā jalaṃ vā pāñcamūlikam||69||  dhānyanāgarasiddhaṃ vā tāmalakyā'thavā śṛtam|  parṇinībhiścatasṛbhistena cānnāni kalpayet||70||,"With salt, sourness, pungency, and heat, as well as juices enhanced by added unguents, one should prepare a decoction of barley, green gram, black gram, and sesame seeds. Also, mix in fresh ginger, black pepper, and jujube, all finely ground together. One should drink a warm infusion of this mixture, or eat fresh fruits like pomegranates, grapes, or bananas, according to one’s preference. By partaking of these six foods, the changes in the three doshas (wind, bile, and phlegm) that affect the body can be avoided. Additionally, one may consume rice, wheat, barley, or other grains, as well as various vegetables, prepared as desired, according to one’s taste and appetite.",
27,kṛśarotkārikāmāṣakulatthayavapāyasaiḥ|  saṅkarasvedavidhinā kaṇṭhaṃ pārśvamuraḥ śiraḥ||71||  svedayet patrabhaṅgeṇa śiraśca pariṣecayet|  balāguḍūcīmadhukaśṛtairvā vāribhiḥ sukhaiḥ||72||  bastamatsyaśirobhirvā nāḍīsvedaṃ prayojayet|  kaṇṭhe śirasi pārśve ca payobhirvā savātikaiḥ||73||  audakānūpamāṃsāni salilaṃ pāñcamūlikam|  sasnehamāranālaṃ vā nāḍīsvede prayojayet||74||  jīvantyāḥ śatapuṣpāyā balāyā madhukasya ca|  vacāyā veśavārasya vidāryā mūlakasya ca||75||  audakānūpamāṃsānāmupanāhāḥ susaṃskṛtāḥ|  śasyante sacatuḥsnehāḥ śiraḥpārśvāṃsaśūlinām||76||,"With perspiration caused by exertion, cause the neck, armpits, and head to sweat using a piece of cloth. Also, sprinkle these areas with water and other pleasing substances. Similarly, make the various ducts in the neck, head, and sides flow with sweat using liquids such as saliva, sweat, etc. Apply sweat or other similar substances to the throat, head, and sides using liquids like saliva, etc. Cause sweat to flow in the body through ducts by using liquids such as sweat, saliva, etc. Make sweat flow in the body through ducts using liquids like sweat, saliva, etc. Cause sweat to flow in the body through ducts using liquids like sweat, saliva, etc.

You should cause sweat to flow in the body through ducts using liquids like sweat, saliva, etc. This should be done carefully, considering the context, for the benefit of living beings such as plants, bees, and oneself. Similarly, perform actions that contribute to the well-being of all beings, including limbs, by using clean water and other substances, considering their suitability.",
28,śatapuṣpā samadhukaṃ kuṣṭhaṃ tagaracandane|  ālepanaṃ syāt saghṛtaṃ śiraḥpārśvāṃsaśūlanut||77||,"Apply a paste made of a hundred flowers, Kustha, and tagaracandana, mixed thoroughly, to the head, sides, and tips of the skull.",
29,balā rāsnā tilāḥ sarpirmadhukaṃ nīlamutpalam|  palaṅkaṣā devadāru candanaṃ keśaraṃ ghṛtam||78||  vīrā balā vidārī ca kṛṣṇagandhā punarnavā|  śatāvarī payasyā ca kattṛṇaṃ madhukaṃ ghṛtam||79|| catvāra ete ślokārdhaiḥ pradehāḥ parikīrtitāḥ|  śastāḥ saṃsṛṣṭadoṣāṇāṃ śiraḥpārśvāṃsaśūlinām||80||,"O balārāsnā, seek these: sesame seeds, honey, sap of trees, dark blue lotus, devadāru and candana, keśara and ghee; O brave ones, balāvīrā, also vidārī, dark fragrant punarnavā, śatāvarī, payasya, kattṛṇa, ghee, and two more śloka portions – pradehāḥ – have been detailed, destroyed are the faults at their roots, pārśvāṃsa, and śūlinām.",
30,nāvanaṃ dhūmapānāni snehāścauttarabhaktikāḥ|  tailānyabhyaṅgayogīni [1] bastikarma tathā param||81|| śṛṅgālābujalaukobhiḥ praduṣṭaṃ vyadhanena vā|  śiraḥpārśvāṃsaśūleṣu rudhiraṃ tasya nirharet||82||,"With ghee, oil, or other substances smeared, or by piercing the skin, blood may be extracted from various parts of the body, but not from its head, sides, shoulders, or joints.",
31,pradehaḥ saghṛtaśceṣṭaḥ padmakośīracandanaiḥ|  dūrvāmadhukamañjiṣṭhākeśarairvā ghṛtāplutaiḥ||83||  prapauṇḍarīkanirguṇḍīpadmakeśaramutpalam [2] |  kaśerukāḥ payasyā ca sasarpiṣkaṃ pralepanam||84||  candanādyena tailena śatadhautena sarpiṣā|  abhyaṅgaḥ payasā sekaḥ śastaśca madhukāmbunā||85||  māhendreṇa suśītena candanādiśṛtena vā|  pariṣekaḥ prayoktavya iti saṃśamanī kriyā||86||,"The mixture made from lotus, fragrant aloewood, turmeric, durva grass, liquorice, and keshara powder, mixed with ghee, should be applied over the body. The body should be bathed with water, cleansed with a hundred laundered clothes, anointed with scents, oiled with clarified butter, and smeared with sandalwood paste and other substances. Māhendra perfume, when cool, should be used for sprinkling, along with other scents. This completes the cleansing process.",
32,doṣādhikānāṃ vamanaṃ śasyate savirecanam|  snehasvedopapannānāṃ sasnehaṃ yanna karśanam||87||  śoṣī muñcati gātrāṇi purīṣasraṃsanādapi|  abalāpekṣiṇīṃ mātrāṃ kiṃ punaryo viricyate||88||,"For those with an excess of faults, purgation is recommended; for those who have become affectionate through perspiration, a little more affection does not cause harm. The drying agent releases the limbs from the fecal matter; what, then, can be said of the nourishing mother when she is treated with even greater care?",
33,yogān saṃśuddhakoṣṭhānāṃ kāse śvāse svarakṣaye|  śiraḥpārśvāṃsaśūleṣu siddhānetānprayojayet||89||  balāvidārigandhādyairvidāryā [1] madhukena vā|  siddhaṃ salavaṇaṃ sarpirnasyaṃ syātsvaryamuttamam||90||  prapauṇḍarīkaṃ madhukaṃ pippalī bṛhatī balā|  kṣīraṃ [2] sarpiśca tatsiddhaṃ svaryaṃ syānnāvanaṃ param||91||,"For those who have purified their sheaths, one should apply oneself to these accomplished ones in the vital breath, self, and in the organs of perception and action; by strength, valor, smell, etc., or by honey, one becomes accomplished; the supreme sovereignty belongs to one who consumes the best of siddha, paundarika, madhuka, pippalii, brihatii, ksheera, and sarpi.",
34,śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsanibarhaṇam|  prayujyamānaṃ bahuśo ghṛtaṃ cauttarabhaktikam||92|| daśamūlena payasā siddhaṃ māṃsarasena ca|  balāgarbhaṃ ghṛtaṃ sadyo rogānetān prabādhate||93||  bhaktasyopari madhye vā yathāgnyabhyavacāritam|  rāsnāghṛtaṃ vā sakṣīraṃ sakṣīraṃ vā balāghṛtam||94||  lehān kāsāpahān svaryāñ śvāsahikkānibarhaṇān|  śiraḥpārśvāṃsaśūlaghnān snehāṃścātaḥ paraṃ śṛṇu||95||  ghṛtaṃ kharjūramṛdvīkāśarkarākṣaudrasaṃyutam [3] |  sapippalīkaṃ vaisvaryakāsaśvāsajvarāpaham||96||  daśamūlaśṛtāt kṣīrāt sarpiryadudiyānnavam|  sapippalīkaṃ sakṣaudraṃ tat paraṃ svarabodhanam||97||  śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsajvarāpaham|  pañcabhiḥ pañcamūlairvā śṛtādyadudiyādghṛtam||98||  pañcānāṃ pañcamūlānāṃ rase kṣīracaturguṇe|  siddhaṃ sarpirjayatyetadyakṣmaṇaḥ saptakaṃ balam||99||  kharjūraṃ pippalī drākṣā pathyā śṛṅgī durālabhā|  triphalā pippalī mustaṃ śṛṅgāṭaguḍaśarkarāḥ||100||  vīrā śaṭī puṣkarākhyaṃ surasaḥ śarkarā guḍaḥ|  nāgaraṃ citrako lājāḥ pippalyāmalakaṃ guḍaḥ||101||  ślokārdhairvihitānetāṃllihyānnā madhusarpiṣā|  kāsaśvāsāpahānsvaryānpārśvaśūlāpahāṃstathā||102||,"""Applying ghee, prepared with a mixture of dasamula and milk, or with meat soup, immediately eliminates these diseases such as cough, etc. Or, applied to the head, sides, arms, and shanks, or even consumed, it has a healing effect on phlegm, wind, and bile. Ghee, mixed with kharjura, pippalI, draksha, patha, shringI, durable fruits, triphala, musta, surasa, sugar, and rock candy, or mixed with a decoction of dasamula, pippali, and kushta, or prepared with five of these mula, eliminates poison, consumption, and other diseases. Kharjura, pippalI, draksha, patha, shringI, duraplhI, triphala, vIra, shatI, Pushkara, surasa, nAgara, citraka, lAjA, and amalaka, when processed with half a sloka of this and mixed with honey, become excellent healers for cough, wind, and fever.""",
35,sitopalāṃ tugākṣīrīṃ pippalīṃ bahulāṃ tvacam|  antyādūrdhvaṃ dviguṇitaṃ lehayenmadhusarpiṣā||103||  cūrṇitaṃ prāśayedvā tacchvāsakāsakaphāturam [1] |  suptajihvārocakinamalpāgniṃ pārśvaśūlinam||104||,"""Let a mixture of sugar, camphor, black pepper, pippal, and a large quantity of salt be consumed; twice that amount should be cause to be eaten, combined with a little ghee, for one with a sleepy tongue and mild digestive fire, and for one lying down on the side.""

The translation attempts to convey the meaning of the original Sanskrit verse while being grammatically correct and contextually sensible in English. The compound words ""sita-upalā"" and ""dvi-guṇita"" have been translated as ""a mixture of sugar"" and ""twice that amount"" respectively, in order to provide a clearer understanding of their meaning in this context. The verb ""lehayet"" has been translated as ""should be cause to be eaten"" to convey the sense of causing or making something be eaten, as indicated by the causative form of the verb. The translation aims to be both accurate and readable in English, while still maintaining fidelity to the original Sanskrit text.",
36,hastapādāṅgadāheṣu jvare rakte tathordhvage|  vāsāghṛtaṃ śatāvaryā siddhaṃ vā paramaṃ hitam||105||,"Apply ointment on the hands, feet, and ornaments in this location where there is fever; the heated one becomes remedied, that is certainly the supreme beneficial one.",
37,durālabhāṃ śvadaṃṣṭrāṃ ca catasraḥ parṇinīrbalām|  bhāgānpalonmitān kṛtvā palaṃ parpaṭakasya ca||106||  paceddaśaguṇe toye daśabhāgāvaśeṣite|  rase supūte dravyāṇāmeṣāṃ kalkān samāvapet||107||  śaṭyāḥ puṣkaramūlasya pippalītrāyamāṇayoḥ|  tāmalakyāḥ kirātānāṃ tiktasya kuṭajasya ca||108||  phalānāṃ sārivāyāśca supiṣṭān karṣasammitān|  tatastena ghṛtaprasthaṃ kṣīradviguṇitaṃ pacet||109||  jvaraṃ dāhaṃ bhramaṃ kāsamaṃsapārśvaśirorujam|  tṛṣṇāṃ chardimatīsārametat sarpirvyapohati||110||,"""Gaining control over the hard-to-achieve, sharp-toothed one, having divided the shares of the four cardinal points, having made the strength of the water potent by a factor of ten, having made these substances fully absorbed in their juices, having made the poison of the pushkara plant and kutaja plant less intense, having prepared the ripe fruits of sara and ari, having made them more concentrated by a factor of two, one should cook this in ghee and milk, which eliminates fever, burning sensation, dizziness, thirst, fatigue, and other ailments.""",
38,jīvantīṃ madhukaṃ drākṣāṃ phalāni kuṭajasya ca|  śaṭīṃ puṣkaramūlaṃ ca vyāghrīṃ gokṣurakaṃ balām||111||  nīlotpalaṃ tāmalakīṃ trāyamāṇāṃ durālabhām|  pippalīṃ ca samaṃ piṣṭvā ghṛtaṃ vaidyo vipācayet||112||  etadvyādhisamūhasya rogeśasya samutthitam|  rūpamekādaśavidhaṃ sarpiragryaṃ vyapohati||113||,"Consuming, in proper proportion, the juicy madhuca and draksa fruits, the roots of kutaja, puṣkara, śaṭi, and vyāghri, as well as the bala of gokṣuraka, the blue lotus, tāmalakī, and trāyamāṇa pippalī, all ground together with ghee, a doctor should prepare; this, when consumed, dispels the various symptoms of the disease known as vyādhisamūha, in the form of eleven different snake venoms.",
39,balāṃ sthirāṃ pṛśniparṇīṃ bṛhatīṃ sanidigdhikām|  sādhayitvā rase tasminpayo gavyaṃ sanāgaram||114||  drākṣākharjūrasarpirbhiḥ pippalyā ca śṛtaṃ saha|  sakṣaudraṃ jvarakāsaghnaṃ svaryaṃ caitat prayojayet||115||  ājasya payasaścaivaṃ prayogo jāṅgalā rasāḥ|  yūṣārthe caṇakā mudgā makuṣṭhāścopakalpitāḥ||116||,"Having churned the firm pṛśni-parṇī bṛhatī, sanidigdhikā in that very liquid, he should make it become gavya, the savory sanāgaram. Mixed with Drākṣā, kharjūra, sarpirbhiḥ, pippalyā, this should be used as a remedy for jvara-kāsa, and will become svarya. Similarly, this preparation from āja's payas, evam prayoga, should be used in jāṅgalā rasāḥ for yūṣa-artha, along with caṇakā, mudgā, makuṣṭhāḥ.",
