id,sloka,translation,Unnamed: 3
18,picchilaṃ bahalaṃ visraṃ haritaṃ śvetapītakam|  kāsamāno rasaṃ yakṣmī niṣṭhīvati [1] kaphānugam||51||,"Afflicted with a phlegm-related illness, one who is suffering from a cough expels mucus of diverse colors and consistencies – be it thick, thin, green, or pale.",
19,aṃsapārśvābhitāpaśca santāpaḥ  karapādayoḥ|  jvaraḥ sarvāṅgagaśceti lakṣaṇaṃ rājayakṣmaṇaḥ||52||,"The symptoms of royal fever are: a fever that strikes the areas around the joints and feet; there is shivering, sweating, and inflammation throughout the body, as well as a rise in temperature. This is its definition.",
20,vātātpittātkaphādraktāt kāsavegāt sapīnasāt|  svarabhedo bhavedvātādrūkṣaḥ kṣāmaścalaḥ svaraḥ||53||  tālukaṇṭhapariploṣaḥ pittādvaktumasūyate|  kaphādbhedo  vibaddhaśca svaraḥ khurakhurāyate  ||54||  sanno raktavibaddhatvāt svaraḥ kṛcchrāt pravartate|  kāsātivegāt kaṣaṇaḥ  pīnasātkaphavātikaḥ||55||  pārśvaśūlaṃ tvaniyataṃ saṅkocāyāmalakṣaṇam|  śiraḥśūlaṃ sasantāpaṃ yakṣmiṇaḥ syātsagauravam||56||,"If the symptoms of vāta (wind), pitta (bile), kapha (phlegm), rakta (blood), kasa (cough), vega (movement), piunasaka (mucus), and sva (ether) become pronounced, then the voice becomes rough, unstable, and harsh. With a split in kapha, the voice becomes constricted and husky. When rakta is bound, the voice becomes difficult to emit. When kasa and piunasaka are increased by vata, there is difficulty in breathing. A symptom of vāta in the side of the body is a cramp-like pain; aniyatam (excessive) saṅkoca (contraction) is a sign of vāta in the limbs. When siraḥśūlaṃ (cervical syndrome) occurs, there is a sensation of heat in the head. Tuberculosis (yakṣmiṇaḥ) causes loss of honor and fame.",
21,abhisanne  śarīre tu yakṣmiṇo viṣamāśanāt|  kaṇṭhātpravartate raktaṃ śleṣmā cotkliṣṭasañcitaḥ||57||,"When there is an irregular ingestion leading to a disorder in the bile on the body, reddish pus, formed by accumulated, abnormal phlegm, is observed to be issuing from the throat.",
22,raktaṃ vibaddhamārgatvānmāṃsādīnnānupadyate  |  āmāśayasthamutkliṣṭaṃ bahutvāt kaṇṭhameti ca||58||  vātaśleṣmavibaddhatvādurasaḥ śvāsamṛcchati|  doṣairupahate cāgnau sapicchamatisāryate||59||,"Upon the binding of the veins, the redness does not emerge in the flesh and other constituents; due to the swelling of the chest region, because of the excess of phlegm and wind, pallor and emaciation occur when the bodily doshas are aggravated and the digestive fire is weakened. (58) The body becomes lean and pale due to the binding of veins, and the digestive fire is weakened because of the aggravation of bodily doshas caused by the excess of phlegm and wind, resulting in pallor and emaciation. (59)",
23,pṛthagdoṣaiḥ samastairvā jihvāhṛdayasaṃśritaiḥ|  jāyate'rucirāhāre dviṣṭairarthaiśca mānasaiḥ||60||  kaṣāyatiktamadhurairvidyānmukharasaiḥ kramāt|  vātādyairaruciṃ jātāṃ mānasīṃ doṣadarśanāt||61||,"Born insipid through distinct faults that adhere to the senses and heart, it becomes, over time, progressively more palatable, tinged by sattvic, rajasic, and tamasic tastes, due to the perception of mental impurities. This is attributed to the influence of air and other elements on one who is inherently devoid of taste, due to the imperfect activity of the second person (in past or present).",
24,arocakāt kāsavegāddoṣotkleśādbhayādapi|  chardiryā sā vikārāṇāmanyeṣāmapyupadravaḥ||62||,"Even one who is free from disease and agitation, discerning, and fearless may be overwhelmed by this disturbance of others' afflictions.",
25,sarvastridoṣajo yakṣmā doṣāṇāṃ tu balābalam|  parīkṣyāvasthikaṃ vaidyaḥ śoṣiṇaṃ samupācaret||63||  pratiśyāye śiraḥśūle kāse śvāse svarakṣaye|  pārśvaśūle ca vividhāḥ kriyāḥ sādhāraṇīḥ śṛṇu||64||,"The physician should examine the relative strength of all types of disorders and consumptive fever present in a patient . Then, having ascertained the balance of power between the various ailments , he should attend to the wasting condition . He himself should apply various common treatment measures at the head , neck , chest , sides , and other locations, as well as for breath control . Furthermore, he should listen to various instructions regarding the implementation of these common treatments .",
26,pīnase svedamabhyaṅgaṃ dhūmamālepanāni ca|  pariṣekāvagāhāṃśca yāvakaṃ [1] vāṭyameva ca||65||  lavaṇāmlakaṭūṣṇāṃśca rasān snehopabṛṃhitān|  lāvatittiridakṣāṇāṃ vartakānāṃ ca kalpayet||66||  sapippalīkaṃ sayavaṃ sakulatthaṃ sanāgaram|  dāḍimāmalakopetaṃ snigdhamājaṃ rasaṃ pibet||67||  tena ṣaḍvinivartante vikārāḥ pīnasādayaḥ|  mūlakānāṃ kulatthānāṃ yūṣairvā sūpakalpitaiḥ [2] ||68||  yavagodhūmaśālyannairyathāsātmyamupācaret|  pibetprasādaṃ vāruṇyā jalaṃ vā pāñcamūlikam||69||  dhānyanāgarasiddhaṃ vā tāmalakyā'thavā śṛtam|  parṇinībhiścatasṛbhistena cānnāni kalpayet||70||,"With salted, sour, pungent, and warm fare, along with abundantly used oils, one should prepare dishes of barley, rice, wheat, jujube, and bitter gourd. One should cause to be ingested the juice, freshly extracted from betel leaves, nutgrass, and pomegranate. By this, the six changes such as thirst are pacified. Similarly, one should prepare and consume foodstuffs like grains, fruits, and vegetables that agree with one’s nature, or water from rain, rivers, or ponds.",
27,kṛśarotkārikāmāṣakulatthayavapāyasaiḥ|  saṅkarasvedavidhinā kaṇṭhaṃ pārśvamuraḥ śiraḥ||71||  svedayet patrabhaṅgeṇa śiraśca pariṣecayet|  balāguḍūcīmadhukaśṛtairvā vāribhiḥ sukhaiḥ||72||  bastamatsyaśirobhirvā nāḍīsvedaṃ prayojayet|  kaṇṭhe śirasi pārśve ca payobhirvā savātikaiḥ||73||  audakānūpamāṃsāni salilaṃ pāñcamūlikam|  sasnehamāranālaṃ vā nāḍīsvede prayojayet||74||  jīvantyāḥ śatapuṣpāyā balāyā madhukasya ca|  vacāyā veśavārasya vidāryā mūlakasya ca||75||  audakānūpamāṃsānāmupanāhāḥ susaṃskṛtāḥ|  śasyante sacatuḥsnehāḥ śiraḥpārśvāṃsaśūlinām||76||,"Using a slender rod, cause sweating on the neck, shoulder, and head with long strokes. Also, sprinkle cool water on the body using a leaf or conch shell filled with water infused with medicinal herbs. Employ water from the five rivers, or water that has touched gold, silver, gems, pearls, or sandalwood. For a living being, utilize water that has touched flowers, fruits, leaves, and roots of trees such as madhuca (Indian Madder). Apply this water using a narrow strip of cloth to the neck, shoulders, and limbs. This practice will help balance the bodily fluids and alleviate any discomforts.",
28,śatapuṣpā samadhukaṃ kuṣṭhaṃ tagaracandane|  ālepanaṃ syāt saghṛtaṃ śiraḥpārśvāṃsaśūlanut||77||,"Prepare a paste with one hundred blossoms, costus, tagara, and candana, and apply it with a steady hand to the head, sides, and shoulders.",
29,balā rāsnā tilāḥ sarpirmadhukaṃ nīlamutpalam|  palaṅkaṣā devadāru candanaṃ keśaraṃ ghṛtam||78||  vīrā balā vidārī ca kṛṣṇagandhā punarnavā|  śatāvarī payasyā ca kattṛṇaṃ madhukaṃ ghṛtam||79|| catvāra ete ślokārdhaiḥ pradehāḥ parikīrtitāḥ|  śastāḥ saṃsṛṣṭadoṣāṇāṃ śiraḥpārśvāṃsaśūlinām||80||,"The two half-verses describe eight remedies: 1) sesame oil, 2) cow's milk butter, 3) honey, 4) blue lotus, 5) sandalwood paste,",
30,nāvanaṃ dhūmapānāni snehāścauttarabhaktikāḥ|  tailānyabhyaṅgayogīni [1] bastikarma tathā param||81|| śṛṅgālābujalaukobhiḥ praduṣṭaṃ vyadhanena vā|  śiraḥpārśvāṃsaśūleṣu rudhiraṃ tasya nirharet||82||,"Even when using gold ornaments on its tips, one may extract the blood from the head, sides, and joints of an elephant that has been defiled with impurities, by wounding it or using a spear; or, as an alternative, by using money.",
31,pradehaḥ saghṛtaśceṣṭaḥ padmakośīracandanaiḥ|  dūrvāmadhukamañjiṣṭhākeśarairvā ghṛtāplutaiḥ||83||  prapauṇḍarīkanirguṇḍīpadmakeśaramutpalam [2] |  kaśerukāḥ payasyā ca sasarpiṣkaṃ pralepanam||84||  candanādyena tailena śatadhautena sarpiṣā|  abhyaṅgaḥ payasā sekaḥ śastaśca madhukāmbunā||85||  māhendreṇa suśītena candanādiśṛtena vā|  pariṣekaḥ prayoktavya iti saṃśamanī kriyā||86||,"The friendly acting body, possessed of affable movements, is to be anointed with a concoction made of lotus, padmakosha, candana, and fragrant powders like durvā, madhuka, and manjistha keśaraiḥ, combined with ghrita. It should also be washed with water, anointed with sacred substances like candana, and sprinkled with water from a conch (ambu) or cold water from the celestial river Māhendra. This practice is known as saṃśamanī kriyā.",
32,doṣādhikānāṃ vamanaṃ śasyate savirecanam|  snehasvedopapannānāṃ sasnehaṃ yanna karśanam||87||  śoṣī muñcati gātrāṇi purīṣasraṃsanādapi|  abalāpekṣiṇīṃ mātrāṃ kiṃ punaryo viricyate||88||,"For those afflicted with an excess of doshas, emesis is recommended; for those whose sweat arises from natural affection, a milder treatment is prescribed. A weak person can be cleansed by administering a small dose of purgative, but what about someone who is strong?",
33,yogān saṃśuddhakoṣṭhānāṃ kāse śvāse svarakṣaye|  śiraḥpārśvāṃsaśūleṣu siddhānetānprayojayet||89||  balāvidārigandhādyairvidāryā [1] madhukena vā|  siddhaṃ salavaṇaṃ sarpirnasyaṃ syātsvaryamuttamam||90||  prapauṇḍarīkaṃ madhukaṃ pippalī bṛhatī balā|  kṣīraṃ [2] sarpiśca tatsiddhaṃ svaryaṃ syānnāvanaṃ param||91||,"With strength and by carefully making an incision, one should open [the cleaned cavities of the body]. With honey or juice, one should make the herbs effective, thereby achieving the best enhancement of the senses. Poundrika, Madhuka, Pippali, Brihati, and milk/ghee, when purified, provide the ultimate enhancement of the senses.",
34,śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsanibarhaṇam|  prayujyamānaṃ bahuśo ghṛtaṃ cauttarabhaktikam||92|| daśamūlena payasā siddhaṃ māṃsarasena ca|  balāgarbhaṃ ghṛtaṃ sadyo rogānetān prabādhate||93||  bhaktasyopari madhye vā yathāgnyabhyavacāritam|  rāsnāghṛtaṃ vā sakṣīraṃ sakṣīraṃ vā balāghṛtam||94||  lehān kāsāpahān svaryāñ śvāsahikkānibarhaṇān|  śiraḥpārśvāṃsaśūlaghnān snehāṃścātaḥ paraṃ śṛṇu||95||  ghṛtaṃ kharjūramṛdvīkāśarkarākṣaudrasaṃyutam [3] |  sapippalīkaṃ vaisvaryakāsaśvāsajvarāpaham||96||  daśamūlaśṛtāt kṣīrāt sarpiryadudiyānnavam|  sapippalīkaṃ sakṣaudraṃ tat paraṃ svarabodhanam||97||  śiraḥpārśvāṃsaśūlaghnaṃ kāsaśvāsajvarāpaham|  pañcabhiḥ pañcamūlairvā śṛtādyadudiyādghṛtam||98||  pañcānāṃ pañcamūlānāṃ rase kṣīracaturguṇe|  siddhaṃ sarpirjayatyetadyakṣmaṇaḥ saptakaṃ balam||99||  kharjūraṃ pippalī drākṣā pathyā śṛṅgī durālabhā|  triphalā pippalī mustaṃ śṛṅgāṭaguḍaśarkarāḥ||100||  vīrā śaṭī puṣkarākhyaṃ surasaḥ śarkarā guḍaḥ|  nāgaraṃ citrako lājāḥ pippalyāmalakaṃ guḍaḥ||101||  ślokārdhairvihitānetāṃllihyānnā madhusarpiṣā|  kāsaśvāsāpahānsvaryānpārśvaśūlāpahāṃstathā||102||,"92. Utilizing ghee, prepared with the northern devotion from ten roots and water, combined with flesh juice and strength, it removes horse-like weakness when applied to head, sides, and limbs, curing these ailments instantly.

93. Made from curd, rice, bitter gourd, long pepper, and black salt, it is born as strength, instantly awakening and curing these ailments.

94. Above, use it like a fire ritual, or as a witness, or with strength - referring to ghee in previous contexts.

95. Lehya removes phlegm, improves voice, hiccups, weakness, wound healing; affectionate for head, sides, limbs - listen further.

96. Ghee, bitter gourd, long pepper, vinegar, pippali, cures fever; three hard-to-find fruits, musta, śṛṅgaṭaka, sugar, black salt - details follow.",
35,sitopalāṃ tugākṣīrīṃ pippalīṃ bahulāṃ tvacam|  antyādūrdhvaṃ dviguṇitaṃ lehayenmadhusarpiṣā||103||  cūrṇitaṃ prāśayedvā tacchvāsakāsakaphāturam [1] |  suptajihvārocakinamalpāgniṃ pārśvaśūlinam||104||,"Consuming well-ground sitopalā, tugakshirī, pippalī, and abundant tvakam, all doubled in size from antyāt to ūrdhvam, sweetened with a mixture of madhu and sarpiṣā,
Ground up and consumed, it eliminates the ailment of shvasa-kasa; gently igniting the agni of parśu-shulinam with a barely perceptible flame, even when the tongue is asleep.",
36,hastapādāṅgadāheṣu jvare rakte tathordhvage|  vāsāghṛtaṃ śatāvaryā siddhaṃ vā paramaṃ hitam||105||,"Apply clarified butter to the sweaty hands and forearms during fever; such an elixir, derived from a hundred cows, or any supremely beneficial remedy, is indeed effective when used.",
37,durālabhāṃ śvadaṃṣṭrāṃ ca catasraḥ parṇinīrbalām|  bhāgānpalonmitān kṛtvā palaṃ parpaṭakasya ca||106||  paceddaśaguṇe toye daśabhāgāvaśeṣite|  rase supūte dravyāṇāmeṣāṃ kalkān samāvapet||107||  śaṭyāḥ puṣkaramūlasya pippalītrāyamāṇayoḥ|  tāmalakyāḥ kirātānāṃ tiktasya kuṭajasya ca||108||  phalānāṃ sārivāyāśca supiṣṭān karṣasammitān|  tatastena ghṛtaprasthaṃ kṣīradviguṇitaṃ pacet||109||  jvaraṃ dāhaṃ bhramaṃ kāsamaṃsapārśvaśirorujam|  tṛṣṇāṃ chardimatīsārametat sarpirvyapohati||110||,"Acquiring the venomous snake with sharp fangs is difficult; one should cook it, having divided the shares of the poisonous substance extracted from four powerful parṇinī reeds of great strength. This should be done for the parpaṭaka, prepared by dividing the portions, in ten times the quantity of water, reduced to half. The remaining half should be mixed with twice the amount of milk and cooked together with the juice extracted from the roots of śaṭya, pippalī, and kuṣmāṇḍa plants, as well as tāmalaka fruits of Kirāta origin and the ripe, superior quality fruits of ari and vāyā. This eliminates fever, burning sensation, dizziness, thirst, fatigue, and hunger.",
38,jīvantīṃ madhukaṃ drākṣāṃ phalāni kuṭajasya ca|  śaṭīṃ puṣkaramūlaṃ ca vyāghrīṃ gokṣurakaṃ balām||111||  nīlotpalaṃ tāmalakīṃ trāyamāṇāṃ durālabhām|  pippalīṃ ca samaṃ piṣṭvā ghṛtaṃ vaidyo vipācayet||112||  etadvyādhisamūhasya rogeśasya samutthitam|  rūpamekādaśavidhaṃ sarpiragryaṃ vyapohati||113||,"By cooking together equal quantities of the fruits of jīvantī, madhuka, drākṣā, kuṭaja, śaṭī, puṣkara-mūla, vyāghrī, gokṣuraka, nīlotpala (blue lotus), tāmalakī, which is being protected, and pippalī, and then mixing it with ghee, a physician should prepare a remedy for the manifestation of this disease, which takes on eleven distinct forms. The foremost serpent can dispel this condition's appearance.",
39,balāṃ sthirāṃ pṛśniparṇīṃ bṛhatīṃ sanidigdhikām|  sādhayitvā rase tasminpayo gavyaṃ sanāgaram||114||  drākṣākharjūrasarpirbhiḥ pippalyā ca śṛtaṃ saha|  sakṣaudraṃ jvarakāsaghnaṃ svaryaṃ caitat prayojayet||115||  ājasya payasaścaivaṃ prayogo jāṅgalā rasāḥ|  yūṣārthe caṇakā mudgā makuṣṭhāścopakalpitāḥ||116||,"Having forcibly churned and made firm the pṛśni-parṇī bṛhatī, which has been well-cooked, in that very liquid, add gavya together with drākṣā, kharjūra, sarpirbhiḥ, pippalyā, and saha. This kṣaudram, named jvara-kāsaghnam, will cause elation when used in the ājasya payasaḥ, as well as for jāṅgalā rasāḥ, and for the preparation of caṇakā, mudgā, makuṣṭhāścopakalpitāḥ, all intended for yūṣa.",
40,jvarāṇāṃ śamanīyo yaḥ pūrvamuktaḥ kriyāvidhiḥ|  yakṣmiṇāṃ jvaradāheṣu sasarpiṣkaḥ praśasyate||117||,"The procedure described previously, which calms down fevers, is praised as the most effective remedy for the intense heat caused by yakshmi afflictions, for it brings about a soothing effect.",
