id,original_trans,translation
11,These eleven symptoms are manifested in the patients suffering from yakshma caused by overexertion. [14-19],"Yakshma, a condition triggered by excessive exertion, reveals itself through a distinct set of eleven symptoms. It is crucial to recognize and understand these manifestations, as awareness can lead to early intervention and management of the condition.

The first symptom is a persistent fatigue that doesn't improve with rest. Secondly, patients may experience recurring headaches and dizziness, making daily activities challenging. Thirdly, muscle weakness and cramps become prevalent, affecting mobility and overall strength.

The following symptoms include rapid heartbeat and shortness of breath, which may indicate cardiovascular involvement. Additionally, patients may notice a significant loss of appetite, leading to unintentional weight loss. Mood swings and irritability are also common, contributing to emotional distress. Lastly, sleeplessness and memory problems may arise, further impacting the patient's quality of life."
12,"When due to bashfulness or disgust or fear one suppresses the impelling urge to pass flatus, urine and/or feces, vata, due to the obstruction of such urges, propels kapha and pitta upwards, obliquely and downwards within the body, causing the disorders having symptoms of all three doshas such as coryza, cough, hoarseness of voice, anorexia, pain in flank, headache, fever, pain in shoulders, bodyache, frequent vomiting and diarrhea. These are the eleven symptoms of rajayakshma caused due to suppression of urges. [20-23]","Suppression of natural bodily urges, such as the need to pass gas, urinate, or defecate, can lead to serious health consequences according to Ayurvedic teachings. When these urges are suppressed due to shyness, discomfort, or fear, it can cause an imbalance in the body's doshas. Specifically, vata becomes aggravated and propels kapha and pitta in different directions within the body. This can result in a variety of symptoms known as ""rajayakshma,"" which includes coryza, cough, hoarseness of voice, anorexia, pain in the flanks, headache, fever, pain in the shoulders, body ache, frequent vomiting, and diarrhea. It is crucial to pay attention to these natural urges and not ignore them in order to maintain balance in the body and prevent illness."
13,"Excessive envy, eagerness, fever, terror, anger, grief, excessive indulgence in sexual intercourse, and fasting leads to depletion of shukra and ojas. This, in turn, due to loss of unctuousness, provokes vata which further aggravates the other two doshas and causes eleven symptoms such as—coryza, fever, cough, bodyache, headache, dyspnea, diarrhea, anorexia, pain in flanks, feeble voice and feeling of warmth in shoulders. These eleven symptoms indicate the advent of the great disease rajayakshma due to wasting. [24-27]","In the ancient science of Ayurveda, it is believed that an excess of certain emotions and behaviors can lead to an imbalance in the body's doshas, or energies. According to this doctrine, envy, eagerness, fever, terror, anger, and grief, when experienced to a extreme degree, can cause a depletion of shukra and ojas. This depletion can then provoke vata, or the energy associated with movement and dryness, which can further aggravate the other two doshas, leading to the manifestation of eleven distinct symptoms. These symptoms, which include coryza, fever, cough, bodyache, headache, dyspnea, diarrhea, anorexia, pain in flanks, feeble voice and a feeling of warmth in the shoulders, are indicative of the onset of a great disease known as rajayakshma, or wasting away. It is essential to maintain a balance of emotions and behaviors in order to prevent such imbalances and maintain overall health and wellness."
14,"Irregular intake of dietary articles, or irregular dietary habits lead to vitiation of doshas, causing severe amavisha disorders. These vitiated doshas obstruct the channels of blood etc. leading to weaning away of dhatus and causing the 11 symptoms of rajayakshma caused due to irregular dietary habit:  Due to vitiated kapha: coryza, excessive salivation, cough, vomiting and anorexia, Due to vitiated pitta: fever, distress in shoulder and haemoptysis, and Due to vitiated vata: pain in flanks, headache and hoarseness of voice.[28-31]","The consequences of irregular dietary habits and sporadic consumption of nutritional elements can have significant impacts on an individual's health, according to Ayurvedic principles. The balance of doshas - kapha, pitta, and vata - within the body can be disrupted, leading to the formation of amavisha toxins. These toxins can obstruct channels in the body, causing the depletion of dhatus and resulting in the onset of rajayakshma symptoms. Excessive kapha can cause coryza, excessive salivation, cough, vomiting, and anorexia, while vitiated pitta may result in fever, distress in the shoulders, and hemoptysis. Additionally, vitiated vata can cause pain in the flanks, headaches, and hoarseness of voice, highlighting the importance of regular and balanced dietary habits in maintaining optimal health and preventing disorders."
15,"The premonitory symptoms (of rajayakshma) are coryza, debility, nitpicking (or an inclination to find faults where there is no reason to), morbid appearances on the body; feeling of disgust, loss of strength and flesh (inspite of consuming adequate food), craving for women, wine and meat, desire to be always covered by something (feeling of cold), imagined feeling of one’s food being infested with insects, flies, hair,, rapid growth of hairs and fingernails, imagined feeling of being attacked by birds, wasps, and animals, seeing dreams of climbing heaps of hair, bones, and ashes, and dreaming of dried or withered ponds, mountains, and forests- these are to be known as premonitory symptoms of rajayakshma of various types.[33-38]","Rajayakshma, a fatal Sanskrit term used in ancient Indian medical texts, is described to have a set of premonitory symptoms that serve as early warnings for this ailment. These symptoms include a runny nose, overall weakness, and a heightened tendency to find faults in things. Physical changes such as morbid appearances and aversion to cold are also common. Unusual cravings for women, wine, and meat may arise, alongside the rapid growth of hair and nails. Anxious feelings such as imagining food being infested with insects or attacked by animals are also indicative of this disease. Vivid and disturbing dreams, including those of climbing heaps of hair, bones, and ashes or witnessing withered landscapes, further suggest the onset of rajayakshma.[33-38]"
16,"Now we will describe the pathogenesis, clinical features and management in brief.  Normally, the dhatus of the body get metabolised (being acted upon) by their own ushmas or dhatvagnis (transforming enzymes in the tissue elements). From these dhatus, (nutrient tissue elements), the other dhatus ( next dhatu to it that which receive nourishment) gets nourished through their respective srotas (channels of circulation). (For example, a poshaka rasa dhatu would nourish the rakta dhatu ).   Once, however, there is any obstruction to srotas or if there is diminution of stable tissue elements like rakta or if there is diminution of dhatu-ushmas or dhatvagnis then rajayakshma is manifested. In such a case, whatever food is digested in the gastrointestinal tract by jatharagni is mostly reduced to waste products and very little of it contributes to the formation of ojas (nourishment). The patient is depleted of all tissue elements and strength. The patient’s stool should be preserved and it is the only source of strength left with him. Because of the obstruction to the srotas, rasa dhatu becomes vidagdha (improperly metabolized) in its own location (heart) and this vitiated rasa comes out through the upper passages in different forms by way of coughing. Subsequently, six or eleven symptoms (or forms of diseases) are manifested, and their aggregation is the syndrome called rajayakshma. Cough, distress in shoulder, change of voice, fever, pain in flanks, headache, vomiting of rakta and kapha, dyspnea, diarrhea and anorexia are the eleven symptoms of rajayakshma ; or they are also six viz., cough, fever, pain in flanks, hoarseness of voice diarrhea and anorexia. With eleven, six or even three of the symptoms, a patient is incurable if he is losing mamsa (flesh tissues) and strength, but he is curable if he is behaving otherwise in spite of showing all the symptoms. [39-47]","Rajayakshma, a significant ailment in Ayurvedic medicine, is caused by the disruption of the body's metabolic processes. The dhatus, or nutrient tissue elements, are typically metabolized by their own ushmas or dhatvagnis. These metabolized dhatus then nourish other dhatus through specific srotas or channels of circulation. However, when there is an obstruction in the srotas or a decrease in stable tissue elements like rakta or ushmas/dhatvagnis, rajayakshma manifests. In this case, food is mainly converted into waste products instead of contributing to ojas formation due to the weakened digestive function (jatharagni).

The patient's strength is severely depleted, leaving their stool as their only remaining source of nourishment. The obstruction in srotas leads to improperly metabolized rasa dhatu in the heart, which is then expelled through the upper passages in various forms, such as coughing. This results in the manifestation of six or eleven symptoms (or disease forms), known collectively as rajayakshma syndrome. These symptoms include cough, distress in the shoulder, change of voice, fever, pain in flanks, headache, vomiting of rakta and kapha, dyspnea, diarrhea, and anorexia. The presence of three or more of these symptoms, particularly when accompanied by muscle wasting and strength loss, indicates a poor prognosis for the patient."
17,"The kapha or blood or pitta located at the root of the nasal passage cause nasal catarrh in the patients whose head is afflicted with vayu. This results in severe pratishyaya (coryza) affecting entire body of the patient, This leads to emaciation of the body; its signs and symptoms are headache, heaviness in the head, loss of smell, fever, cough, increase of mucous secretion, change of voice, anorexia fatigue and asthenia of the senses and then rajayakshma manifests.  [48-50]","Nasal catarrh, a common ailment that originates from the kapha, blood, or pitta situated at the root of the nasal passage, can severely affect patients whose heads are dominated by vayu. This condition, known as pratishyaya, can have far-reaching effects on the entire body, leading to a weakened state and ultimately manifesting into rajayakshma. Those who suffer from this ailment experience a range of symptoms such as headaches, heaviness in the head, loss of smell, fever, cough, increased mucous secretion, changes in voice, anorexia, fatigue, and asthenia of the senses. This debilitating condition can result in significant weight loss and a weakened constitution, making it a serious concern for those affected."
18,"Expectorates resulting from coughing (when afflicted with rajayakshma) contain slimy, thick, putrid, greenish or white-yellowish matter along with kapha. [51]","When a person is struck with the debilitating disease of rajayakshma, or tuberculosis, one of the distressing symptoms they may experience is a persistent cough. This hacking cough often results in the expulsion of expectorate, a substance that can reveal much about the progression and severity of the disease. The appearance of this matter can be quite alarming, as it is typically slimy, thick, and putrid, and may range in color from a greenish hue to a white-yellowish tinge. Additionally, this expectorate is often found to be mixed with kapha, a product of the body's own immune system that can contribute to the overall unpleasantness of the symptom. The close examination of expectorate can provide valuable insights for medical professionals working to treat and manage this challenging condition."
19,"The typical characteristics of rajayakshma include a feeling of warmth (or burning sensation) in the shoulders and flanks, burning sensation in hands, and feet, and raised temperature all over the body.[52]","Rajayakshma, a formidable disease that has been discussed in ancient Ayurvedic texts, is known for its distinct set of characteristics that set it apart from other ailments. One of the most notable features of this condition is the presence of a persistent, pervasive feeling of warmth or burning sensation that typically manifests in the shoulder and flank region. This symptom is often accompanied by similar sensations in the hands and feet, as well as an overall increase in body temperature. These symptoms work together to create a unique constellation of complaints that are commonly associated with rajayakshma, making it possible for healthcare providers to accurately diagnose and treat this condition."
20,"Hoarseness of voice is engendered by morbid vata, pitta or kapha or blood or by, strain of coughing or by coryza. The voice becomes husky, feeble and unstable if caused by vata; if by pitta, there will be burning of the palate and throat and the patient will refrain from talking; and if due to kapha, the voice is low, choked and is marked with a wheezing sound; owing to the obstruction to the flow of blood, the voice becomes low and comes out with difficulty; the throat becomes injured by the strain of exorbitant coughing and in case of coryza, the characterstics of the voice resemble the condition in vata and kapha afflictions.   The rajayakshma patient is afflicted with pain in the sides of the chest (flanks) which is inconsistent and manifests during constriction and expansion of chest during breathing, with headache, burning and heaviness.[53-56]","Hoarseness of voice is a common symptom in various medical conditions, including those attributed to the imbalance of bodily humor or rajayakshma, as described in ancient Ayurvedic texts. A hoarse and unstable voice may indicate an excess of vata, while a burning sensation in the palate and throat could point to pitta dominance. Kapha imbalance may result in a low and choked voice with a wheezing sound. The obstruction of blood flow may also contribute to a hoarse and difficult-to-produce voice. Excessive coughing and coryza can further strain the throat and lead to hoarseness, which may resemble symptoms associated with vata and kapha afflictions. Additionally, rajayakshma patients may experience inconsistent chest pain in the flanks, accompanied by headaches, burning sensations, and heaviness."
21,"In the emaciated condition of rajayakshma patients’ indulgence in irregular diet causes expectoration of blood. The kapha too, having been vitiated, is expectorated from the throat. [57]","The debilitating effects of rajayakshma, a severe form of consumption, leave the affected individuals in a state of extreme weakness. In this delicate condition, any deviation from a regular and balanced diet can have dire consequences. One such consequence is the expectoration of blood, which can occur when the patients indulge in irregular eating habits. Furthermore, the kapha, one of the three bodily humors, gets vitiated and is also expelled from the throat, exacerbating the patient's condition. Therefore, it is crucial for rajayakshma patients to maintain a strict and wholesome diet to avoid any unnecessary complications and promote recovery."
22,"Owing to obstruction in the circulation, the blood does not nourish the flesh tissues and other body elements. The blood staying in the stomach, getting agitated owing to incremented quantity, passes to the throat. Due to the obstruction of vata and kapha in the chest, there occurs dyspnea and the agni, being impaired by the morbid humors, causes the patient to pass loose and slimy stools.[57-59]","The proper circulation of blood is essential for the nourishment of various bodily tissues and components. However, when this circulation is obstructed, the blood is unable to fulfill its function, leading to a lack of nourishment for the flesh and other body parts. In addition, the blood that accumulates in the stomach becomes agitated due to the increased quantity and passes up to the throat. Furthermore, the obstruction of vata and kapha in the chest can result in dyspnea or shortness of breath. The agni, or digestive fire, is also impaired by the morbid humors, leading to the passing of loose and slimy stools. This collection of symptoms highlights the importance of maintaining a balanced and unobstructed flow of bodily functions for overall health and wellbeing. (57-59)"
23,"Anorexia or dislike for food is caused by morbidity of one or all the three doshas in the tongue or heart or by repugnant perceptions. By knowing the astringent, bitter or sweet taste in the mouth, anorexia is to be diagnosed as caused due to dominance of vata, pitta or kapha respectively. Anorexia due to morbid perceptions is psychosomatic, caused due to visually observing disturbing or morbid visuals. [60-61]","Anorexia or the loss of appetite can be traced back to the imbalance of one or more of the three doshas in Ayurvedic medicine - vata, pitta, and kapha. When vata is dominant, a person may experience an aversion to food due to a dry, rough, and clear taste in their mouth. On the other hand, pitta dominance can cause a bitter taste, leading to a loss of appetite. Similarly, a sweet taste in the mouth can indicate kapha dominance, resulting in anorexia. Moreover, repugnant perceptions, such as witnessing distressing visuals, can also lead to a psychosomatic form of anorexia. By understanding these underlying causes, Ayurvedic practitioners can diagnose and treat anorexia effectively."
24,"Regurgitating or vomiting is caused by anorexia, bouts of coughing, and the precipitation of morbid dosha and as a result of fear; it occurs as a complication of other diseases additionally. [62]","Regurgitation or vomiting can occur as a result of various factors, with anorexia, intense bouts of coughing, and the aggravation of morbid dosha being some of the primary causes. Furthermore, it can also be a complication arising from other underlying diseases, making it essential to identify and address the root cause to prevent further health complications. Additionally, fear can also trigger regurgitation, highlighting the intimate connection between the mind and body in health and disease. Therefore, a holistic approach that addresses both physical and mental well-being is crucial for managing regurgitation and promoting overall health."
25,"All types of rajayakshma are caused due to vitiated three doshas and hence the physician should treat the patient after examining the degree of intensity of the morbid dosha and the vigor of the patient. The physician should carefully observe the status (of patient) – by the symptoms such as coryza, headache, cough, dyspnea, asthenia of the voice and pain in flanks. [63-64]","Rajayakshma, a respiratory ailment known in ancient Indian medical texts, is caused by the imbalance of the three doshas in the body. Therefore, it is imperative for a physician to identify the intensity of the affected dosha and evaluate the patient's overall strength before beginning treatment. The status of the patient is determined by observing various symptoms such as coryza, headaches, cough, dyspnea, hoarseness of voice, and pain in the flanks. These symptoms serve as crucial indicators for the physician to diagnose and treat the specific type of rajayakshma that the patient is afflicted with, ensuring a more effective treatment plan."
26,"In coryza, sudation, inunction, smoke application, effusion, bath, cooked barley and barley gruel, meat juices of quail, partridge, chicken and vartaka quail prepared with salt, acid, pungent, sultry and unctuous articles should be given. The patient should imbibe the juice of goat-meat prepared with long pepper, barley, horse gram, dry ginger, pomegranate or emblic myrobalan and unctuous articles. By taking this, the hexad of coryza and other disorders vanishes. The patient should be treated with a suitable diet of soups made up of radish or horse gram or out of staple food composed of barley, wheat or shali rice. A potion made up of the clear supernatant part of varuni wine or water, prepared with pentaradix, or with coriander and dry ginger or with feather-foil, or with the tetrad of herbs called parnini is advised. Articles of diet may additionally be consumed with these decoctions.[65-70]","In the management of coryza, a common cold-like condition, various treatments are recommended including sudation, inunction, smoke application, and effusion. The patient should be given cooked barley and barley gruel, as well as meat juices from quail, partridge, chicken, and vartaka quail, all prepared with salt. Additionally, the consumption of goat-meat juice, prepared with long pepper, barley, horse gram, dry ginger, pomegranate or emblic myrobalan, and unctuous articles is advised. A suitable diet of soups made from radish or horse gram or staple food composed of barley, wheat, or shali rice is also recommended. To further aid in recovery, potions made from the clear supernatant part of varuni wine or water, prepared with herbs such as pentaradix, coriander, dry ginger, feather-foil, or parnini may be consumed. These treatments work together to alleviate the symptoms of coryza and other disorders."
27,"The throat, the flanks, the chest and the head regions should be made to sweat by a commixed type of lump sudation prepared using krushara (a type of gruel), utkarika (hot poultice), ebony gram, horse gram, barley and milk pudding; or the head should be effused genially with warm decoction prepared using the leaves of heart leaved sida, guduchi and liquorice; or the steam kettle sudation prepared with the decoctions of  the heads of goat and fish or with vata pacifying decoctions should be utilized for sweating the throat, head and sides of the chest. The flesh of aquatic and wet land animals, the decoction of pentaradix or sour conjee with unctuous articles may be utilized in steam kettle sudation. The poultices well prepared with cork swallow wort, heart of dil seeds, leaved sida, liquorice, saccharine flag cooked meat, white yam, radish, the flesh of aquatic and wet land creatures and commixed with all the four kinds of unctuous articles should be applied to persons suffering from pain applied to persons suffering from pain in the head, side of the chest and shoulder region.[71-76]","Traditional Ayurvedic practices recommend various methods to induce sweating in different parts of the body, such as the throat, flanks, chest, and head, to alleviate pain and discomfort. One such method involves creating a lump sudation paste using krushara gruel, utkarika poultice, ebony gram, horse gram, barley, and milk pudding. This paste is then applied to the specified areas to induce sweating. Alternatively, a warm decoction prepared from heart leaved sida, guduchi, and licorice leaves can be gently effused on the head for the same purpose.

Steam kettle sudation is another recommended approach, where decoctions from goat and fish heads or vata pacifying decoctions are used to generate steam. This method aims to stimulate sweating in the throat, head, and sides of the chest. In steam kettle sudation, aquatic animal flesh, pentaradix decotion, sour conjee with unctuous articles, or cork swallow wort poultices mixed with cooked meat can also be utilized. These poultices can also be applied to individuals experiencing pain in the head, side of the chest, or shoulder region."
28,"Dil, liquorice, costus, Indian valerian and sandalwood with ghee make an effective curative for pain in the head, sides of the chest and shoulder regions. [77]","If you're seeking a natural solution for alleviating headaches and discomfort in the chest and shoulder regions, consider trying a time-honored remedy that combines the potent benefits of dil, licorice, costus, Indian valerian, and sandalwood, all blended with nourishing ghee. This holistic concoction has been trusted for its curative properties for centuries, providing relief for pain and promoting overall well-being. Whether you're grappling with tension headaches or chest pain, this soothing blend can offer a natural reprieve, allowing you to find comfort and respite in the embrace of traditional healing wisdom."
29,"Heart leaved sida, Indian groundsel, til, ghee, liquorice and blue water-lily; gum , guggulu, deodar, sandalwood, fragrant poon and ghee; climbing asparagus, heart leaved sida, white yam, drumstick and hog’s weed; climbing asparagus, milky yam, ginger grass, liquorice and ghee: these four groups of drugs, described one in each half verse for preparation of application are propitious in conditions of pain in the head, side of the chest and the shoulder region arising from bi-dosha discordance. [78-80]","The ancient science of Ayurveda has long prescribed the use of various herbal and mineral preparations to alleviate pain and treat ailments. Among these are four distinct groups of drugs, each mentioned in a single half verse, that are particularly effective for treating discomfort in the head, chest, and shoulder region caused by bi-dosha discordance. The first group includes heart-leaved sida, Indian groundsel, til, ghee, licorice, and blue water-lily; the second is composed of gum, guggulu, deodar, sandalwood, fragrant poon, and ghee; the third uses climbing asparagus, heart-leaved sida, white yam, drumstick, and hog's weed; and the fourth contains climbing asparagus, milky yam, ginger grass, licorice, and ghee. These time-tested remedies offer a natural and holistic approach to managing pain and promoting overall well-being."
30,"Nasal errhines, medicated smokes, post prandial unctuous potions, inunctions with medicated oils, and enemata are very useful options to help ease pain. In conditions of pain in the head, flanks and shoulder region, the vitiated blood should be depleted by betokens of the horn, bottle gourd, application of leeches or venesection.[81-82]","The ancient medical practices of using nasal errhines, medicated smokes, and post-prandial unctuous potions have been found to be beneficial in alleviating pain in various parts of the body. Similarly, inunctions with medicated oils and enemata have also been recommended for their pain-relieving properties. In cases of headaches, flank pain, and shoulder aches, the depletion of vitiated blood is considered essential for pain management. This can be achieved through betokening of the horn or bottle gourd, or through more invasive methods such as leech application and venesection, as outlined in medical texts from centuries past. These traditional methods continue to be relevant and valuable in modern pain management practices, offering a holistic and alternative approach to modern pharmaceuticals."
31,"The application of Himalayan cherry, cuscus grass and sandal wood with ghee is salutary; or the application of scitch grass, liquorice, Indian madder and fragrant poon soaked in ghee; or the application composed of tubers of white lotus chaste tree, red lotus, fragrant poon, blue water lily, rushnut and milky yam with ghee. Inunction with the compound sandal oil or ghee processed for hundred times and affusion with milk or liquorice water are recommended. Effusion with cold rainwater or the sandalwood group should be given. Thus the pacification treatment has been described.. [83-86]","The ancient text recommends various therapeutic applications for holistic pacification. These include the use of Himalayan cherry, cuscus grass, and sandalwood mixed with ghee. Another compound includes scitch grass, licorice, Indian madder, and fragrant poon, also soaked in ghee. A third concoction consists of tubers of white lotus chaste tree, red lotus, fragrant poon, blue water lily, rushnut, and milky yam, again mixed with ghee. For more intense treatment, inunction with compound sandal oil or ghee processed for a hundred times is suggested. Furthermore, affusion with milk or licorice water can be beneficial. Effusion with cold rainwater or the sandalwood group serves as a cooling and calming remedy. These practices highlight the ancient's comprehensive approach to health and wellness."
32,"In cases of excessively aggravated dosha, mild therapeutic emesis and purgation therapies after proper snehana (oleation) and swedana (sudation) which do not cause emaciation can be administered. The emaciated man (consumptive) may suffer death even on loosening of stools. Then what can be said if a strong dose of purification is given in rajayakshma patient beyond his tolerance?[87-88]","When dealing with severely imbalanced doshas, mild therapeutic emesis and purgation techniques can be employed following appropriate snehana (oleation) and swedana (sudation) procedures, as long as they do not lead to undesired weight loss. However, one must exercise extreme caution in the case of a consumptive patient, where even the loosening of stools can prove fatal. Therefore, it is essential to consider the patient's tolerance and overall condition before administering any strong purification therapy, especially in cases of rajayakshma (a chronic, wasting disease). Administering a high dose of such therapy could potentially endanger the patient's life."
33,"When the alimentary system is well purified, the following tested recipes should be utilized for the remedy of cough, dyspnea, loss of voice and pain in the head, sides of the chest and shoulder region:  Ghee admixed with heart-leaved sida and tick-trefoil group of drugs or with white yam or with liquorice and salted, makes good nasal medication for the amelioration of voice. Ghee admixed with the tubers of white lotus, liquorice long pepper, Indian nightshade, heart leaved sida and milk is an excellent nasal medication for the amendment of the voice. [89-91]","The purification of the alimentary system is crucial in traditional medicine before starting treatment for various ailments such as cough, dyspnea, loss of voice, and pain in the head, chest, and shoulder region. The effectiveness of certain time-honored recipes is highlighted in the remedy of these conditions. For instance, ghee combined with heart-leaved sida and tick-trefoil group of drugs or with white yam or with licorice and salt serves as a useful nasal medication to improve voice quality. Similarly, a mixture of ghee with white lotus tubers, licorice, long pepper, Indian nightshade, heart-leaved sida, and milk can significantly ameliorate voice loss, making it an excellent nasal medication. [89-91]"
