id,sloka,translation1,translation
11,ब्राह्मणोऽस्य मुखमासीद्बाहू राजन्यः कृतः । ऊरू तदस्य यद्वैश्यः पद्भ्यां शूद्रो अजायत ॥,The Brahmana was His mouth,"In the ancient Sanskrit texts, a profound significance lies in the description of the Brahmana being equated to the mouth of the Supreme Being. This metaphorical expression suggests that the Brahmana, or the highest caste in the Hindu social hierarchy, has a unique and important role in society, just as the mouth is crucial for sustenance and communication. The Brahmanas were considered the repositories of sacred knowledge and responsible for performing rituals and imparting spiritual wisdom to the masses. By embodying the qualities of truthfulness, self-control, and purity, they served as the conduit between the divine and the human world, enabling the smooth functioning of society and facilitating spiritual growth."
12,आश्रमः शास्त्रोक्त धर्म्मविशेषः। आश्राम्यन्ति स्वं स्वं तपश्चरन्त्यत्र । स चतुर्विधः । ब्रह्मचर्य्यं गार्हस्थ्यं वानप्रस्थ्यं सन्न्यासः । इति स्मृतिः ॥ ब्रह्मचारी । गृही । वानप्रस्थः । भिक्षुः । इत्यमरः ॥,Ashrama is a distinguishing feature of Dharma mentioned by Shastras. It refers to 4 stages in life.,"The concept of Ashrama is a fundamental aspect of Dharma, as outlined in the Shastras. This Sanskrit term refers to the four distinct stages that define an individual's journey through life. Each stage has its own set of responsibilities and duties, providing a framework for personal growth and societal contribution. By following this path, one can attain spiritual fulfillment and harmonize their existence with the natural order of the universe."
13,त्रयो धर्मस्कन्धा यज्ञोऽध्ययनं दानमिति प्रथमस्तप एव द्वितीयो ब्रह्मचार्याचार्यकुलवासी तृतीयोऽत्यन्तमात्मानमाचार्यकुलेऽवसादयन्सर्व एते पुण्यलोका भवन्ति ब्रह्मसँस्थोऽमृतत्वमेति ॥ ॥,"There are three aspects of Dharma. Yajna , study of the vedas and giving gifts form the first aspect. Austerity is the second. Wearing out his life in the household of the preceptor practicing continence is the third. All these lead to the attainment of virtuous worlds. He who is steadfast in Brahman attains immortality.","Dharma, a fundamental concept in Hinduism, is multifaceted and encompasses various aspects that guide individuals towards righteous living and spiritual growth. The first aspect of Dharma is centered around the practices of Yajna (sacrificial rituals), the study of the Vedas, and giving gifts or charity. These acts purify one's mind and spirit while fostering a sense of duty and responsibility towards society.

The second facet of Dharma is austerity, which involves self-discipline, restraint, and the practice of renunciation. By embracing a life of asceticism, individuals can cultivate inner strength, control their senses, and develop a deeper connection with the divine. The third aspect of Dharma emphasizes serving one's spiritual teacher by living a celibate life in their household. This act of devotion and surrender helps an individual to internalize the teachings of their preceptor and ultimately attain immortality through union with Brahman, the ultimate reality.

In summary, Dharma is a path that leads to virtuous worlds and eventual liberation. By engaging in selfless acts, practicing self-discipline, and serving one's teacher, an individual can attain spiritual growth and realize their true nature as immortal beings united with the divine."
14,यथा वायुं समाश्रित्य वर्तन्ते सर्वजन्तवः । तथा गृहस्थं आश्रित्य वर्तन्ते सर्व आश्रमाः । । । । यस्मात्त्रयोऽप्याश्रमिणो ज्ञानेनान्नेन चान्वहम् । गृहस्थेनैव धार्यन्ते तस्माज्ज्येष्ठाश्रमो गृही । । । ।,"Just as all Creatures subsist by deriving support from air, so do the other states subsist by deriving support from the Householder. Because men in all the three states are sustained with knowledge and food by householders only, therefore the householders state is the highest state. It is the householder who helps men in other stages of life with knowledge brought about by the expounding of the meaning of the Veda.","The householder stage of life holds a place of great significance within Hinduism, as depicted in this Sanskrit verse. All creatures depend on air to survive, and in a similar manner, other stages of life rely on the support of householders. This is because it is primarily the householders who provide knowledge and sustenance to those in all three stages of life. Through their understanding and interpretation of the Vedas, they share valuable insights and wisdom with others, thus making the householder state the most esteemed among all."
15,ऋग्वेदं भगवोऽध्येमि यजुर्वेदँ् सामवेदमाथर्वणं चतुर्थमितिहासपुराणं पञ्चमं वेदानां वेदं पित्र्यँ् राशिं दैवं निधिं वाकोवाक्यमेकायनं देवविद्यां ब्रह्मविद्यां भूतविद्यां क्षत्रविद्यां नक्षत्रविद्यां सर्पदेवज्ञविद्यामेतद्भगवोऽध्येमि,"Narada replies: ""Bhagavan, I know the Rigveda, Yajurveda, Samaveda and Atharvana the fourth veda. As the 5th the Itihasa and Puranas, the Veda of Vedas namely Vyakarana , Pitrya , Ganita , Daiva , Nidhi , Vakovaakya , Ekayana , Deva vidya Brahmavidya Bhutavidya , Kshtravidya , nakshatra vidya , Sarpavidya . All these I know, Bhagavan.","Narada, the renowned sage known for his extensive knowledge and wanderlust, humbly revealed his vast learning to the Divine. He began by mentioning his comprehension of the four Vedas - Rigveda, Yajurveda, Samaveda, and Atharvana. Eager to demonstrate his proficiency in a range of disciplines, he continued to list various Shastras and Vidyas as well.

Among them were Itihasa and Puranas, often considered the fifth Veda, along with Vyakarana (Grammar), Pitrya (Ancestral Rites), Ganita (Mathematics), Daiva (Forecasting omens), Nidhi (Treasure), Vakovaakya (Philosophy of language), Ekayana (Monasticism), Deva vidya (Knowledge of Gods), Brahmavidya (Study of Ultimate Reality), Bhutavidya (Natural Science), Kshtravidya (Geography), Nakshatra vidya (Astronomy), and Sarpavidya (Snake Lore). Narada's profound erudition was truly a testament to his devotion and commitment to knowledge acquisition."
16,सोऽहं भगवो मन्त्रविदेवास्मि नाऽऽत्मविच्छुतँ्ह्येव मे भगवोद्दृशेभ्यस्तरति शोकमात्मविदिति सोऽहं भगवः शोचामि तं मा भगवा ञ्छोकस्य परां तारयत्विति तँहोवाच यद्वै किंचैतदध्यगीष्ठानामैवैतत्,"Narada continues - In the Vedas, I know only the external sound of the word and I am not an atmavid . I have heard that people like you, that one who knows the Self passes beyond sorrow and have transcended misery. So I am in grief, do help me overcome this grief of mine.""","Narada, the great sage known for his celestial wisdom, admits to a profound limitation - his understanding of the Vedas is limited to their external sounds, and he does not yet possess the inner knowledge of the Self. He humbly seeks the guidance of those who have transcended the miseries of this world through self-realization. Narada expresses his anguish and grief, yearning for a release from the suffering that plagues him. With heartfelt sincerity, he implores for assistance in attaining the ultimate liberation from sorrow."
17,नाम वा ऋग्वेदो यजुर्वेदः सामवेद अथर्वणश्चतुर्थ इतिहासपुराणः पञ्चमो वेदानां वेदः पित्र्यो राशिदैवो निधिर्वाकोवाक्यमेकायनं देवविद्या ब्रह्मविद्या भूतविद्या क्षत्रविद्या नक्षत्रविद्या सर्पदेवज्ञविद्या नामैवैतन्नामोपास्स्वेति,"Sanatkumara says - ""Whatever you have studied is only a name. All the vedas and Puranas, the Veda of Vedas namely Vyakarana , Pitrya , Ganita , Daiva , Nidhi , Vakovaakya , Ekayana , Deva vidya , Brahmavidya Bhutavidya , Kshtravidya , nakshatra vidya , Sarpavidya - All these are the name only. Meditate on the Name.","Sanatkumara, a revered sage in Hinduism, imparts profound wisdom in these words. According to him, all knowledge, be it the sacred scriptures of the Vedas and Puranas, or the intricate studies of Vyakarana (grammar), Pitrya (ancestral rituals), Ganita (mathematics), Daiva (destiny), Nidhi (wealth), Vakovaakya (phonetics), Ekayana (single path), Deva vidya (divine knowledge), Brahmavidya (knowledge of the absolute), Bhutavidya (study of living beings), Kshtravidya (geography), nakshatra vidya (astronomy), or Sarpavidya (serpent lore) - are mere names. These designations point towards specific concepts and ideas, but they are not the ideas themselves. To truly understand and connect with the essence of existence, one must look beyond the labels and delve into the heart of consciousness. The path to enlightenment lies in meditating upon the true nature of reality, transcending the limitations of nomenclature."
18,यदा वै विजानात्यथ सत्यं वदति नाविजानन्सत्यं वदति विजानन्नेव सत्यं वदति विज्ञानं त्वेव विजिज्ञासितव्यमिति विज्ञानं भगवो विजिज्ञास इति,"When one understands the Truth , then only does he declare it. One who doesnt understand it does not declare it so. This Understanding one has to desire for . Bhagavan! I desire to understand the Understanding .","The pursuit of truth is a journey that begins with a deep yearning to understand. It is only when one truly grasps the essence of truth that they can authentically express it. On the other hand, those who have not yet attained this understanding cannot possibly articulate it. In the quest for ultimate knowledge, the desire to comprehend the very nature of understanding itself becomes paramount. As seekers on this path, we earnestly pray to the Divine – Bhagavan – to grant us the wisdom to understand the intricacies of understanding."
19,यदा वै मनुतेऽथ विजानाति नामत्वा विजानाति मत्वैव विजानाति मतिस्त्वेव विजिज्ञासितव्येति मतिं भगवो विजिज्ञास इति,"When one thinks, then only he understands thoroughly, without having thought , one cannot know only through thought can one understand; Bhagavan! I desire to understand that Thought.","The power of contemplation and reflection should never be underestimated in the pursuit of understanding and knowledge. It is through deep thinking and consideration that we are able to fully comprehend and internalize complex ideas. Mere surface-level thoughts or unreflective opinions do not grant us a true grasp of concepts. As the verse states, ""When one thinks, then only he understands thoroughly, without having thought, one cannot know...I desire to understand that Thought."" The supreme Bhagavan himself acknowledges the importance of thoughtful understanding. Let us strive to delve deeper into our thoughts and seek enlightenment through contemplation."
20,यदा वै श्रद्दधात्यथ मनुते नाश्रद्दधन्मनुते श्रद्दधेव मनुते श्रद्धात्वेव विजिज्ञासितव्येति श्रद्धां भगवो विजिज्ञास इति,"When one has Faith, then he thinks, without faith he does not think, only with faith one thinks; Bhagavan! I desire to understand Faith.","Faith is a powerful force that drives our thoughts and beliefs. It is an essential tool that helps us make sense of the world around us and guides our actions. When one has faith, they have a clear perspective and can approach life's challenges with confidence and determination. On the other hand, without faith, thinking becomes muddled and uncertain. It is therefore no surprise that the seeker in this Sanskrit verse seeks to understand and cultivate faith. As they say, ""Bhagavan! I desire to understand Faith."" In order to live a fulfilling life, it is important to have a strong foundation of faith to guide us on our journey."
21,यदा वै निस्तिष्ठत्यथ श्रद्दधाति नानिस्तिष्ठच्छ्रद्दधाति निस्तिष्ठन्नेव श्रद्दधाति निष्ठात्वेव विजिज्ञासितव्येति निष्ठां भगवो विजिज्ञास इति,"When one attends on his Teacher with firm devotion, then one has faith. One who is not devoted has no faith, only he who attends with devotion has faith; Bhagavan! I desire to understand Devotion.","In the quest to cultivate and understand the profound concept of devotion, one must begin by turning their attention towards their teacher with unwavering focus and commitment. It is through this dedicated attachment that faith blossoms, allowing the seed of devotion to take root and grow. Without such devotion, faith may wane or not develop at all. As we delve deeper into the study and practice of this ancient wisdom, we seek to unravel the mysteries of devotion, invoking the divine guidance of the Bhagavan – the supreme lord and protector, who is ever watchful and compassionate towards those who tread the path with sincerity and reverence."
22,यदा वै करोत्यथ निस्तिष्ठति नाकृत्वा निस्तिष्ठति कृत्वैव निस्तिष्ठति कृतिस्त्वेव विजिज्ञासितव्येति कृतिं भगवो विजिज्ञास इति,"When one does his duties, then he is said to be devoted to a teacher. One who does not perform his duties he does not really attend to the teacher. Bhagavan! I desire to understand Duty.","In the pursuit of spiritual growth and knowledge, it is essential to fully commit oneself to their responsibilities and duties. According to ancient Sanskrit teachings, a student who genuinely applies themselves to their tasks is considered devoted to their teacher. Conversely, if one neglects their duties, they cannot truly dedicate themselves to the lessons and wisdom that their teacher offers. The speaker in this verse expresses a deep longing to comprehend the true nature of duty, recognizing its significance in their journey towards enlightenment. Just as a plant needs water and sunlight to thrive, so too does a student need to fulfill their duties in order to fully absorb the teachings of their mentor."
23,यदा वै सुखं लभतेऽथ करोति नासुखं लब्ध्वा करोति सुखमेव लब्ध्वा करोति सुखं त्वेव विजिज्ञासितव्यमिति सुखं भगवो विजिज्ञास इति,"When one obtains Bliss, he does his duties; without bliss he does not undertake any action. It is only after obtaining Bliss that he does them. Bhagavan! I desire to understand Bliss.","The pursuit of true happiness and bliss is a fundamental human desire, one that transcends the boundaries of culture and time. According to this Sanskrit verse, only when an individual has achieved a state of pure joy can they truly undertake their duties and responsibilities with purpose and dedication. Without this inner sense of fulfillment, actions may feel empty or meaningless. This raises the question, what is this elusive Bliss that the verse speaks of? Is it a fleeting emotion, or a stable state of being? As the speaker in the verse expresses, understanding this concept of Bliss becomes a deep longing, a search for meaning and purpose that goes to the very core of our existence."
24,वेदम् एवाभ्यसेन्नित्यं यथाकाम् अतन्द्रितः । तं ह्यस्याहुः परं धर्मम् उपधर्मोऽन्य उच्यते,"A Dvija should carefully recite the Vedas everyday. For, this is the prime duty; all other duties are called secondary. .","Undoubtedly, one of the most significant responsibilities for a dvija, or twice-born individual in Hinduism, is the meticulous recitation of the Vedas on a daily basis. This primary duty takes precedence over all other obligations, which are regarded as secondary. By prioritizing this sacred task, the dvija not only preserves the ancient knowledge and traditions but also cultivates a deeper connection with the divine, thereby fulfilling their spiritual and social roles in society."
25,वयसः कर्मणोऽर्थस्य श्रुतस्याभिजनस्य च । वेषवाग्बुद्धिसारूप्यं आचरन्विचरेदिह श्रुतिस्मृत्युदितं सम्यङ्निबद्धं स्वेषु कर्मसु । धर्ममूलं निषेवेत सदाचारं अतन्द्रितः आचाराल्लभते ह्यायुराचारादीप्सिताः प्रजाः । आचाराद्धनं अक्षय्यं आचारो हन्त्यलक्षणम्,"One should wander about in this world, keeping one's dress, speech and thoughts in conformity with his age, occupation, wealth, learning and family. . A grhastha should untiringly, follow the code of conduct like reading the Vedas, observing Vratas, Nitya karma and follow good conduct which is the base of Dharma as prescribed by the Shruti and Smrti texts . By Right Conduct one attains longevity; by Right Conduct one obtains desirable children; by Right Conduct one obtains inexhaustible wealth; and Right Conduct destroys everything inauspicious.
According to Manusmrti, even though devoid of all auspicious marks, the one who follows Right Conduct, has faith and is free from jealousy, lives for a hundred years. While, the one of evil conduct becomes deprecated among men; is constantly suffering pain, sick and short-lived. .","In living a life that is fulfilling and righteous, it is essential to align one's actions, words, and thoughts with one's circumstances and social position. A householder, as per the guidance of ancient Indian texts like Manusmrti, should diligently follow the codes of conduct such as studying the Vedas, observing vows, performing daily rituals, and adhering to good morals. This commitment to righteousness brings about longevity, desirable offspring, abundant wealth, and eliminates all negative influences in one's life. It is said that even if an individual lacks auspicious signs of prosperity, they will still live a long and respected life if they consistently practice right conduct, have unwavering faith, and are free from jealousy. On the other hand, those who indulge in evil conduct face public disdain, constant suffering, poor health, and an early death. By embracing righteousness as the foundation of our existence, we cultivate a life that is both meaningful and virtuous."
26,कणादेन तु संप्रोक्तं शास्त्रं वैशेषिकं महत् । गौतमेन तथा न्यायं सांख्यं तु कपिलेन वै ॥,"The Vaisheshika shastra has been elucidated by Kanada, while the Nyaya shastra was given by Gautama Rishi, and Samkhya shastra was by Kapila Rishi.","In the rich tradition of Indian philosophy, there are several texts that have stood the test of time as profound contributions to our understanding of the world and ourselves. Among these are the Vaisheshika Shastra, Nyaya Shastra, and Samkhya Shastra, each associated with a revered sage known for their remarkable insights.

Kanada, also known as Ulukhala, is celebrated as the founder of the Vaisheshika school of thought. This system focuses on atomistic physics and metaphysics, offering intricate explanations of elements, qualities, and movements that provide a unique perspective on reality's fundamental nature.

Gautama Rishi, another highly respected figure in Indian philosophy, is recognized as the originator of the Nyaya Shastra. This text delves deeply into logic, epistemology, and the means to attain valid knowledge. It serves as a foundation for rigorous argumentation and critical thinking within Indian philosophical discourse.

Lastly, Kapila Rishi's Samkhya Shastra offers an engaging exploration of existence through a dualistic lens, examining purusha (consciousness) and prakriti (matter). The text lays out the principles behind cosmic evolution, making it an essential read for those seeking to comprehend the intricate workings of the universe.

These timeless texts remain significant contributions to philosophical thought, offering valuable insights into various aspects of existence, knowledge acquisition, and reality itself."
27,सः एषः सप्तभिः पुरुषैर्निपऩ्न एकः पुरुषः प्रजापतिः विराट् अभूत् एवं लिङ्गशरीराभिमानिहिरण्यगर्भकर्तृका विराडुत्पत्तिरुक्ता तस्य विराजोऽग्निरूपतामाह स यः पुरुषः इति स प्रजापतिः एव अयं चीयमानः अग्निः इत्यर्थः काण्डिका अथ यो गर्भोऽन्तरासीत् सोऽग्निरसृज्यत स यदस्य सर्वस्याग्रमसृज्यत तस्मादग्निः अग्निर्हवै तमग्निरित्याचक्षते परोऽक्षम् परोऽक्षकामा हि देवाः काण्डिका,"That Prajapati is identified as Agni, formed from seven lustrous persons. That Agni covers all expanse. Prajapati as the Srustikarta creates all the celestial beings and heavenly bodies such as Aakasha, nakshtras. He also creates Agni as the yajnika agni.","The enigmatic figure of Prajapati, as described in ancient Sanskrit texts, is identified as the all-encompassing Agni. This Agni is not merely a physical fire but a divine entity, composed of seven radiant beings. As the Srustikarta, or creator, Prajapati is responsible for bringing forth the expanse of the universe, including the boundless sky (Aakasha) and celestial bodies (nakshtras). In a remarkable act of self-creation, Prajapati also gives birth to Agni in its role as the fire of sacrifices (yajnika agni), further solidifying its place as a central and foundational aspect of existence."
28,मेधायै मनसेऽग्नये स्वाहेति मेधया वै मनसाभिगच्छति यजेयेति तदस्येतदमुभयमात्मन्येव यन्मेधा च मनश्च ते अस्मिन्नेते उभे देवते आत्मन्याधीते,"Yajamani chants "" To wisdom, to mind, to Agni - Svaaha"". He intends with his mind, "" May I perform the yajna"". These two - wisdom and mind are within himself. He meditates upon both these deities in his own mind.","In the ancient ritual of Yajna, the Yajamani, or sponsor, invokes the divine powers of wisdom and intellect through the chant ""To wisdom, to mind, to Agni - Svaaha"". As he offers his oblations to the sacred fire, he silently reflects on his inner intentions, praying for the ability to execute the ritual with the utmost devotion and focus. This introspective act of meditation serves as a reminder that the true essence of wisdom and intellect resides within oneself, and it is only through self-realization and contemplation that one can truly harness their divine potential during the sacred Yajna ceremony."
29,स त्वमग्निं स्वर्ग्यमध्येषि मृत्यो प्रब्रूहि त्वं श्रद्दधानाय मह्यम् । स्वर्गलोका अमृतत्वं भजन्त एतद् द्वितीयेन वृणे वरेण ॥ ॥,"""Oh Mrityu, you know very well that Agni is the means of attainment of heaven. Explain to me as I have asked you earnestly, by which the liberated souls attain immortality. This is the second boon I choose.""","The concept of death and the afterlife has always been a subject of great curiosity and mystery for humanity. In this quote, the speaker implores Mrityu, the personification of death, to reveal the secret to attaining immortality. They acknowledge that they have heard that Agni, the god of fire and purification, holds the key to reaching heaven. With a deep yearning for knowledge, the speaker asks Mrityu to clearly explain this path to them, as it is their second boon. The idea that liberated souls can achieve immortality through the power of Agni speaks to the profound spiritual beliefs and practices held by ancient cultures such as those who spoke Sanskrit."
30,अथ हाग्नय: समूदिरे तप्तो ब्रह्मचारी कुशलं न: पर्यचारीद्धन्तास्मै प्रब्रवामेति तस्मै होचु: ॥ ॥,"The 3 fires then said among themselves: ""this brahmachari has performed his penances and has tended us very well. let us teach him . "" So saying they talk about breath and akasha and their being connected with brahman. Each fire explain to him about his own particular philosophy.","In the ancient texts, there is a profound dialogue between the three fires, known as Agni, Vayu, and Surya, and a devoted brahmachari who had diligently tended to them during his penances. Touched by his devotion and dedication, the fires collectively decided to impart their unique philosophies to enlighten the seeker's mind.

Agni, the fire of transformation, spoke first about the significance of breath, emphasizing its importance as a bridge between the physical and spiritual realms. He explained how mastering the breath could bring stillness to the mind and help the seeker connect with higher consciousness.

Meanwhile, Vayu, the wind fire, shared his wisdom on the concept of Akasha - the all-pervading space that exists beyond the physical realm. He elucidated how understanding this concept could expand the seeker's awareness and help them realize the interconnectedness of everything in the universe.

Finally, Surya, the fire of illumination, explained his philosophy based on the connection between all three fires and Brahman - the ultimate reality. He emphasized how understanding this connection could help the seeker attain self-realization and experience a profound sense of inner peace."
31,अथ हैनं गार्हपत्योऽनु शशास पृथिव्यग्निरन्नमादित्य इति य । एष आदित्ये पुरुषो दृश्यते सोऽहमस्मि स एवाहमस्मीति ॥ ॥,"The gaarhapatya fire taught him "" the earth, fire, food and sun - these are my four forms . And the person seen in the sun that I am, that I am indeed!"". One who understands and meditates upon it, becomes invincible and lives a complete life.","In the ancient scriptures of Sanskrit, there lies a profound teaching imparted by the sacred gaarhapatya fire to a revered sage. The fire illuminated the essence of its existence, revealing its four forms - the earth, fire itself, nourishing food, and the life-giving sun. Furthermore, it enlightened the sage about the true self, emphasizing that they are one with the radiant presence seen in the sun.

This profound wisdom, when understood and meditated upon, grants the individual invincibility and a life brimming with completeness. By acknowledging and assimilating this sacred knowledge, one becomes firmly rooted in the understanding of the interconnectedness of all elements and the divine nature within oneself, leading to a fulfilling existence."
32,यदा लेलायते हृार्चि: समिद्धे हव्यवाहने तदाज्यभागावन्तरेणाहुती: प्रतिपादयेत्,"When the flames of the bearer of the havisya offerings are bright and high, let the offerings be given, with faith, between the two flares of the fire.","In the heart of the ritualistic worship, the importance of every step is paramount. The flames of the sacred fire, fueled by havisya offerings, rise high and bright, signifying the devotee's pure intentions and unwavering faith. It is at this auspicious moment, when the fire dances with vigor, that the offerings are made. They must be placed carefully, sandwiched between the two forks of fire, ensuring a successful and blessed ceremony. The faithful adherence to these ancient traditions fosters a deep connection with the divine, reminding us of our spiritual heritage."
